"pli0097_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1992","Hauptschule","Ostdeutschland","16","","",""
"Min 1x pro Monat","1992","Realschule","Westdeutschland","31","0.0219496028342386","0.0148756291903618","0.0290235764781154"
"Min 1x pro Monat","1992","Realschule","Ostdeutschland","29","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","Westdeutschland","13","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","Ostdeutschland","3","","",""
"Min 1x pro Monat","1992","AkademikerIn","Westdeutschland","24","","",""
"Min 1x pro Monat","1992","AkademikerIn","Ostdeutschland","48","0.0583952201169663","0.0431179140800138","0.0736725261539187"
"Seltener","1992","(noch) kein Abschluss","Westdeutschland","17","","",""
"Seltener","1992","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Seltener","1992","Hauptschule","Westdeutschland","217","","",""
"Seltener","1992","Hauptschule","Ostdeutschland","44","0.0272128055895434","0.0186747973568493","0.0357508138222375"
"Seltener","1992","Realschule","Westdeutschland","103","","",""
"Seltener","1992","Realschule","Ostdeutschland","87","0.0616415457710488","0.0490970881493025","0.0741860033927951"
"Seltener","1992","(Fach-)Abitur","Westdeutschland","58","0.0692291008898184","0.0513575194870181","0.0871006822926187"
"Seltener","1992","(Fach-)Abitur","Ostdeutschland","7","0.0440266911155183","0.00636701574006405","0.0816863664909725"
"Seltener","1992","AkademikerIn","Westdeutschland","87","0.125098940794181","0.101132759628143","0.149065121960218"
"Seltener","1992","AkademikerIn","Ostdeutschland","97","0.0970475232923193","0.0777612429009819","0.116333803683657"
"Nie","1992","(noch) kein Abschluss","Westdeutschland","768","0.958503895391509","0.944588030760446","0.972419760022573"
"Nie","1992","(noch) kein Abschluss","Ostdeutschland","66","0.965400055960686","0.922276466421134","1.00852364550024"
"Nie","1992","Hauptschule","Westdeutschland","4709","0.932800286756089","0.925870965959112","0.939729607553065"
"Nie","1992","Hauptschule","Ostdeutschland","1327","","",""
"Nie","1992","Realschule","Westdeutschland","1501","","",""
"Nie","1992","Realschule","Ostdeutschland","1289","","",""
"Nie","1992","(Fach-)Abitur","Westdeutschland","692","0.89578813368929","0.874277238749058","0.917299028629522"
"Nie","1992","(Fach-)Abitur","Ostdeutschland","103","","",""
"Nie","1992","AkademikerIn","Westdeutschland","606","0.817046284559828","0.789038000847508","0.845054568272148"
"Nie","1992","AkademikerIn","Ostdeutschland","731","0.814122435886122","0.788778028002124","0.83946684377012"
"Taeglich","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1993","Hauptschule","Westdeutschland","","","",""
"Taeglich","1993","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1993","Realschule","Westdeutschland","","","",""
"Taeglich","1993","Realschule","Ostdeutschland","","","",""
"Taeglich","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1993","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1993","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1993","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1993","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1993","Hauptschule","Westdeutschland","","","",""
"Seltener","1993","Hauptschule","Ostdeutschland","","","",""
"Seltener","1993","Realschule","Westdeutschland","","","",""
"Seltener","1993","Realschule","Ostdeutschland","","","",""
"Seltener","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1993","AkademikerIn","Westdeutschland","","","",""
"Seltener","1993","AkademikerIn","Ostdeutschland","","","",""
"Nie","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1993","Hauptschule","Westdeutschland","","","",""
"Nie","1993","Hauptschule","Ostdeutschland","","","",""
"Nie","1993","Realschule","Westdeutschland","","","",""
"Nie","1993","Realschule","Ostdeutschland","","","",""
"Nie","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1993","AkademikerIn","Westdeutschland","","","",""
"Nie","1993","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1994","Hauptschule","Westdeutschland","","","",""
"Taeglich","1994","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1994","Realschule","Westdeutschland","","","",""
"Taeglich","1994","Realschule","Ostdeutschland","","","",""
"Taeglich","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1994","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1994","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","Westdeutschland","2","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1994","Hauptschule","Westdeutschland","27","","",""
"Min 1x pro Woche","1994","Hauptschule","Ostdeutschland","7","0.00536302080680347","0.00133667014348298","0.00938937147012396"
"Min 1x pro Woche","1994","Realschule","Westdeutschland","10","","",""
"Min 1x pro Woche","1994","Realschule","Ostdeutschland","7","0.00489007381731218","0.00117992403622764","0.00860022359839673"
"Min 1x pro Woche","1994","(Fach-)Abitur","Westdeutschland","15","","",""
"Min 1x pro Woche","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1994","AkademikerIn","Westdeutschland","13","","",""
"Min 1x pro Woche","1994","AkademikerIn","Ostdeutschland","25","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","Westdeutschland","4","0.00712776251138594","0.0010666056262439","0.013188919396528"
"Min 1x pro Monat","1994","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Monat","1994","Hauptschule","Westdeutschland","51","0.0108139147442401","0.00787297554683373","0.0137548539416465"
"Min 1x pro Monat","1994","Hauptschule","Ostdeutschland","12","","",""
"Min 1x pro Monat","1994","Realschule","Westdeutschland","32","0.0178937978562778","0.0115147569328626","0.024272838779693"
"Min 1x pro Monat","1994","Realschule","Ostdeutschland","21","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","Westdeutschland","11","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","Ostdeutschland","3","","",""
"Min 1x pro Monat","1994","AkademikerIn","Westdeutschland","22","","",""
"Min 1x pro Monat","1994","AkademikerIn","Ostdeutschland","48","0.0632441116731648","0.0468811507801792","0.0796070725661503"
"Seltener","1994","(noch) kein Abschluss","Westdeutschland","25","","",""
"Seltener","1994","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Seltener","1994","Hauptschule","Westdeutschland","271","","",""
"Seltener","1994","Hauptschule","Ostdeutschland","41","0.0262818731434277","0.0174628732188185","0.0351008730680368"
"Seltener","1994","Realschule","Westdeutschland","122","","",""
"Seltener","1994","Realschule","Ostdeutschland","68","0.050548392611026","0.0388967193351504","0.0622000658869016"
"Seltener","1994","(Fach-)Abitur","Westdeutschland","64","0.071737702885607","0.0536047980985279","0.0898706076726861"
"Seltener","1994","(Fach-)Abitur","Ostdeutschland","6","0.0461383351807201","0.0108807718852988","0.0813958984761413"
"Seltener","1994","AkademikerIn","Westdeutschland","91","0.126005138433082","0.102805277288574","0.149204999577591"
"Seltener","1994","AkademikerIn","Ostdeutschland","81","0.0984320904134665","0.0784055373882866","0.118458643438646"
"Nie","1994","(noch) kein Abschluss","Westdeutschland","709","0.938634120991512","0.921342174632511","0.955926067350512"
"Nie","1994","(noch) kein Abschluss","Ostdeutschland","98","0.980769776264868","0.953852953395457","1.00768659913428"
"Nie","1994","Hauptschule","Westdeutschland","4402","0.925143381853189","0.917660391240774","0.932626372465605"
"Nie","1994","Hauptschule","Ostdeutschland","1204","","",""
"Nie","1994","Realschule","Westdeutschland","1495","","",""
"Nie","1994","Realschule","Ostdeutschland","1262","","",""
"Nie","1994","(Fach-)Abitur","Westdeutschland","688","0.899671737933408","0.878560583822825","0.920782892043991"
"Nie","1994","(Fach-)Abitur","Ostdeutschland","127","","",""
"Nie","1994","AkademikerIn","Westdeutschland","660","0.830372462835114","0.80413502240692","0.856609903263307"
"Nie","1994","AkademikerIn","Ostdeutschland","696","0.812609674053232","0.786376357152233","0.838842990954232"
"Taeglich","1995","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1995","Hauptschule","Westdeutschland","7","0.00109262978684275","0.000163910622999448","0.00202134895068606"
"Taeglich","1995","Hauptschule","Ostdeutschland","2","","",""
"Taeglich","1995","Realschule","Westdeutschland","3","","",""
"Taeglich","1995","Realschule","Ostdeutschland","2","","",""
"Taeglich","1995","(Fach-)Abitur","Westdeutschland","2","","",""
"Taeglich","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1995","AkademikerIn","Westdeutschland","6","0.00502593131375472","0.000443967029434993","0.00960789559807445"
"Taeglich","1995","AkademikerIn","Ostdeutschland","4","0.00523132817278899","0.000329552182414132","0.0101331041631638"
"Min 1x pro Woche","1995","(noch) kein Abschluss","Westdeutschland","5","0.00975344483987786","0.00276642492510503","0.0167404647546507"
"Min 1x pro Woche","1995","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Woche","1995","Hauptschule","Westdeutschland","33","0.0061016408232652","0.00391247032520155","0.00829081132132885"
"Min 1x pro Woche","1995","Hauptschule","Ostdeutschland","6","0.00387341689968967","0.000367684005200381","0.00737914979417896"
"Min 1x pro Woche","1995","Realschule","Westdeutschland","24","","",""
"Min 1x pro Woche","1995","Realschule","Ostdeutschland","7","0.00714245855297094","0.00262011749073715","0.0116647996152047"
"Min 1x pro Woche","1995","(Fach-)Abitur","Westdeutschland","10","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1995","AkademikerIn","Westdeutschland","13","","",""
"Min 1x pro Woche","1995","AkademikerIn","Ostdeutschland","23","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","Westdeutschland","3","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1995","Hauptschule","Westdeutschland","66","0.0166002081645331","0.0130084498686039","0.0201919664604623"
"Min 1x pro Monat","1995","Hauptschule","Ostdeutschland","21","","",""
"Min 1x pro Monat","1995","Realschule","Westdeutschland","37","0.0238226789103323","0.0167022723038521","0.0309430855168125"
"Min 1x pro Monat","1995","Realschule","Ostdeutschland","17","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","Westdeutschland","10","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","Ostdeutschland","3","","",""
"Min 1x pro Monat","1995","AkademikerIn","Westdeutschland","32","0.0399169562091231","0.027232535074373","0.0526013773438733"
"Min 1x pro Monat","1995","AkademikerIn","Ostdeutschland","46","0.0567934669182245","0.0410667156418089","0.0725202181946401"
"Seltener","1995","(noch) kein Abschluss","Westdeutschland","29","","",""
"Seltener","1995","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Seltener","1995","Hauptschule","Westdeutschland","336","0.0766101943187233","0.0691333024442597","0.0840870861931869"
"Seltener","1995","Hauptschule","Ostdeutschland","60","0.0392442878928193","0.0282853327009728","0.0502032430846657"
"Seltener","1995","Realschule","Westdeutschland","146","","",""
"Seltener","1995","Realschule","Ostdeutschland","106","","",""
"Seltener","1995","(Fach-)Abitur","Westdeutschland","89","0.113844859032569","0.0931627137417619","0.134527004323376"
"Seltener","1995","(Fach-)Abitur","Ostdeutschland","10","","",""
"Seltener","1995","AkademikerIn","Westdeutschland","114","","",""
"Seltener","1995","AkademikerIn","Ostdeutschland","105","","",""
"Nie","1995","(noch) kein Abschluss","Westdeutschland","723","0.929034117513753","0.910779113602642","0.947289121424865"
"Nie","1995","(noch) kein Abschluss","Ostdeutschland","111","","",""
"Nie","1995","Hauptschule","Westdeutschland","4419","0.899595326906636","0.891146705697835","0.908043948115437"
"Nie","1995","Hauptschule","Ostdeutschland","1117","","",""
"Nie","1995","Realschule","Westdeutschland","1552","","",""
"Nie","1995","Realschule","Ostdeutschland","1200","","",""
"Nie","1995","(Fach-)Abitur","Westdeutschland","795","0.863541362482108","0.841188863704331","0.885893861259885"
"Nie","1995","(Fach-)Abitur","Ostdeutschland","138","","",""
"Nie","1995","AkademikerIn","Westdeutschland","750","0.801069599992732","0.775203958881931","0.826935241103533"
"Nie","1995","AkademikerIn","Ostdeutschland","654","0.782524670071012","0.754493550360172","0.810555789781853"
"Taeglich","1996","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1996","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1996","Hauptschule","Westdeutschland","","","",""
"Taeglich","1996","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1996","Realschule","Westdeutschland","","","",""
"Taeglich","1996","Realschule","Ostdeutschland","","","",""
"Taeglich","1996","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1996","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1996","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1996","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","Westdeutschland","2","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Hauptschule","Westdeutschland","26","","",""
"Min 1x pro Woche","1996","Hauptschule","Ostdeutschland","7","0.00524262763454842","0.00112396488704127","0.00936129038205557"
"Min 1x pro Woche","1996","Realschule","Westdeutschland","19","","",""
"Min 1x pro Woche","1996","Realschule","Ostdeutschland","6","0.00590911378798292","0.00179006920007312","0.0100281583758927"
"Min 1x pro Woche","1996","(Fach-)Abitur","Westdeutschland","9","0.011635282729199","0.00448888596313261","0.0187816794952654"
"Min 1x pro Woche","1996","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","AkademikerIn","Westdeutschland","13","","",""
"Min 1x pro Woche","1996","AkademikerIn","Ostdeutschland","19","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","Westdeutschland","4","0.0103046817918993","0.00293330672664276","0.0176760568571558"
"Min 1x pro Monat","1996","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Hauptschule","Westdeutschland","41","0.00943419784355991","0.00667575952095842","0.0121926361661614"
"Min 1x pro Monat","1996","Hauptschule","Ostdeutschland","10","","",""
"Min 1x pro Monat","1996","Realschule","Westdeutschland","29","","",""
"Min 1x pro Monat","1996","Realschule","Ostdeutschland","17","","",""
"Min 1x pro Monat","1996","(Fach-)Abitur","Westdeutschland","10","","",""
"Min 1x pro Monat","1996","(Fach-)Abitur","Ostdeutschland","3","","",""
"Min 1x pro Monat","1996","AkademikerIn","Westdeutschland","30","0.0357089579692943","0.0237181946121964","0.0476997213263921"
"Min 1x pro Monat","1996","AkademikerIn","Ostdeutschland","40","0.0483316372698174","0.0337936755173587","0.062869599022276"
"Seltener","1996","(noch) kein Abschluss","Westdeutschland","19","","",""
"Seltener","1996","(noch) kein Abschluss","Ostdeutschland","5","0.0376585895803327","0.00301557243478802","0.0723016067258774"
"Seltener","1996","Hauptschule","Westdeutschland","311","0.0782852805332635","0.0706203638165259","0.0859501972500011"
"Seltener","1996","Hauptschule","Ostdeutschland","55","0.0403992717429205","0.0291699068347947","0.0516286366510464"
"Seltener","1996","Realschule","Westdeutschland","152","","",""
"Seltener","1996","Realschule","Ostdeutschland","83","0.0622298541855417","0.0492470094418084","0.0752126989292749"
"Seltener","1996","(Fach-)Abitur","Westdeutschland","74","0.0874238148879725","0.0686007872589126","0.106246842517032"
"Seltener","1996","(Fach-)Abitur","Ostdeutschland","18","","",""
"Seltener","1996","AkademikerIn","Westdeutschland","146","","",""
"Seltener","1996","AkademikerIn","Ostdeutschland","108","","",""
"Nie","1996","(noch) kein Abschluss","Westdeutschland","696","0.959911385925917","0.945592588290793","0.974230183561041"
"Nie","1996","(noch) kein Abschluss","Ostdeutschland","111","","",""
"Nie","1996","Hauptschule","Westdeutschland","4340","0.907053132309418","0.898767934803588","0.915338329815249"
"Nie","1996","Hauptschule","Ostdeutschland","1109","","",""
"Nie","1996","Realschule","Westdeutschland","1570","","",""
"Nie","1996","Realschule","Ostdeutschland","1224","","",""
"Nie","1996","(Fach-)Abitur","Westdeutschland","772","0.891335756879901","0.870595982311898","0.912075531447904"
"Nie","1996","(Fach-)Abitur","Ostdeutschland","142","","",""
"Nie","1996","AkademikerIn","Westdeutschland","731","0.782605128525183","0.755951878739438","0.809258378310927"
"Nie","1996","AkademikerIn","Ostdeutschland","669","0.795327725013595","0.767978342725435","0.822677107301754"
"Taeglich","1997","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1997","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1997","Hauptschule","Westdeutschland","","","",""
"Taeglich","1997","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1997","Realschule","Westdeutschland","","","",""
"Taeglich","1997","Realschule","Ostdeutschland","","","",""
"Taeglich","1997","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1997","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1997","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1997","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","(noch) kein Abschluss","Westdeutschland","3","","",""
"Min 1x pro Woche","1997","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Hauptschule","Westdeutschland","28","","",""
"Min 1x pro Woche","1997","Hauptschule","Ostdeutschland","4","0.0031016509607684","-0.000140481612175477","0.00634378353371227"
"Min 1x pro Woche","1997","Realschule","Westdeutschland","21","","",""
"Min 1x pro Woche","1997","Realschule","Ostdeutschland","5","0.0046195920916331","0.000916312359982398","0.0083228718232838"
"Min 1x pro Woche","1997","(Fach-)Abitur","Westdeutschland","6","0.0100137189633968","0.00328453531998697","0.0167429026068066"
"Min 1x pro Woche","1997","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","AkademikerIn","Westdeutschland","12","","",""
"Min 1x pro Woche","1997","AkademikerIn","Ostdeutschland","13","","",""
"Min 1x pro Monat","1997","(noch) kein Abschluss","Westdeutschland","7","0.0119839790033352","0.00389417123608627","0.0200737867705842"
"Min 1x pro Monat","1997","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Monat","1997","Hauptschule","Westdeutschland","53","0.0128441855097069","0.00957953925413352","0.0161088317652804"
"Min 1x pro Monat","1997","Hauptschule","Ostdeutschland","13","","",""
"Min 1x pro Monat","1997","Realschule","Westdeutschland","27","","",""
"Min 1x pro Monat","1997","Realschule","Ostdeutschland","17","","",""
"Min 1x pro Monat","1997","(Fach-)Abitur","Westdeutschland","9","0.0077785806657731","0.0018410676858562","0.01371609364569"
"Min 1x pro Monat","1997","(Fach-)Abitur","Ostdeutschland","1","","",""
"Min 1x pro Monat","1997","AkademikerIn","Westdeutschland","40","0.044956444893096","0.0316032621063609","0.0583096276798312"
"Min 1x pro Monat","1997","AkademikerIn","Ostdeutschland","44","0.0512816377534732","0.0362848869297519","0.0662783885771945"
"Seltener","1997","(noch) kein Abschluss","Westdeutschland","23","","",""
"Seltener","1997","(noch) kein Abschluss","Ostdeutschland","4","0.0335218522526515","0.00246100776927688","0.0645826967360261"
"Seltener","1997","Hauptschule","Westdeutschland","253","","",""
"Seltener","1997","Hauptschule","Ostdeutschland","38","0.0262120970667506","0.0168969022819595","0.0355272918515417"
"Seltener","1997","Realschule","Westdeutschland","138","","",""
"Seltener","1997","Realschule","Ostdeutschland","61","0.04669450584578","0.0351722079458714","0.0582168037456886"
"Seltener","1997","(Fach-)Abitur","Westdeutschland","57","0.0858078642311538","0.0668786590017526","0.104737069460555"
"Seltener","1997","(Fach-)Abitur","Ostdeutschland","9","0.0492353638043628","0.0167117559632484","0.0817589716454773"
"Seltener","1997","AkademikerIn","Westdeutschland","101","","",""
"Seltener","1997","AkademikerIn","Ostdeutschland","88","0.110509331677295","0.0891927406292828","0.131825922725308"
"Nie","1997","(noch) kein Abschluss","Westdeutschland","662","0.941198548997562","0.923708527845451","0.958688570149673"
"Nie","1997","(noch) kein Abschluss","Ostdeutschland","124","","",""
"Nie","1997","Hauptschule","Westdeutschland","4236","0.917473328428264","0.909495514922333","0.925451141934195"
"Nie","1997","Hauptschule","Ostdeutschland","1075","","",""
"Nie","1997","Realschule","Westdeutschland","1583","","",""
"Nie","1997","Realschule","Ostdeutschland","1205","","",""
"Nie","1997","(Fach-)Abitur","Westdeutschland","769","0.896399836139676","0.875803916031888","0.916995756247465"
"Nie","1997","(Fach-)Abitur","Ostdeutschland","160","","",""
"Nie","1997","AkademikerIn","Westdeutschland","772","0.833349941308447","0.809334328961009","0.857365553655885"
"Nie","1997","AkademikerIn","Ostdeutschland","686","0.821706119868358","0.795682119399291","0.847730120337426"
"Taeglich","1998","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1998","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Taeglich","1998","Hauptschule","Westdeutschland","3","","",""
"Taeglich","1998","Hauptschule","Ostdeutschland","1","","",""
"Taeglich","1998","Realschule","Westdeutschland","2","","",""
"Taeglich","1998","Realschule","Ostdeutschland","","","",""
"Taeglich","1998","(Fach-)Abitur","Westdeutschland","3","","",""
"Taeglich","1998","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1998","AkademikerIn","Westdeutschland","3","","",""
"Taeglich","1998","AkademikerIn","Ostdeutschland","3","","",""
"Min 1x pro Woche","1998","(noch) kein Abschluss","Westdeutschland","3","","",""
"Min 1x pro Woche","1998","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Hauptschule","Westdeutschland","29","","",""
"Min 1x pro Woche","1998","Hauptschule","Ostdeutschland","2","","",""
"Min 1x pro Woche","1998","Realschule","Westdeutschland","16","","",""
"Min 1x pro Woche","1998","Realschule","Ostdeutschland","6","0.00369539864557915","0.000515846518095044","0.00687495077306326"
"Min 1x pro Woche","1998","(Fach-)Abitur","Westdeutschland","7","0.00962742069924524","0.00348566192714785","0.0157691794713426"
"Min 1x pro Woche","1998","(Fach-)Abitur","Ostdeutschland","1","","",""
"Min 1x pro Woche","1998","AkademikerIn","Westdeutschland","21","","",""
"Min 1x pro Woche","1998","AkademikerIn","Ostdeutschland","10","","",""
"Min 1x pro Monat","1998","(noch) kein Abschluss","Westdeutschland","7","0.0129066363809954","0.00448475347072969","0.0213285192912611"
"Min 1x pro Monat","1998","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Monat","1998","Hauptschule","Westdeutschland","66","0.0124585215128905","0.00937692909570852","0.0155401139300724"
"Min 1x pro Monat","1998","Hauptschule","Ostdeutschland","19","","",""
"Min 1x pro Monat","1998","Realschule","Westdeutschland","23","","",""
"Min 1x pro Monat","1998","Realschule","Ostdeutschland","17","","",""
"Min 1x pro Monat","1998","(Fach-)Abitur","Westdeutschland","11","","",""
"Min 1x pro Monat","1998","(Fach-)Abitur","Ostdeutschland","2","","",""
"Min 1x pro Monat","1998","AkademikerIn","Westdeutschland","42","0.0377101628253902","0.0264374892658783","0.048982836384902"
"Min 1x pro Monat","1998","AkademikerIn","Ostdeutschland","47","0.0520685101290727","0.0372546830579199","0.0668823372002255"
"Seltener","1998","(noch) kein Abschluss","Westdeutschland","33","0.058805216894308","0.0412514135205269","0.0763590202680892"
"Seltener","1998","(noch) kein Abschluss","Ostdeutschland","10","","",""
"Seltener","1998","Hauptschule","Westdeutschland","420","0.0956459043200579","0.0874750641677771","0.103816744472339"
"Seltener","1998","Hauptschule","Ostdeutschland","79","0.0562393409824453","0.0430552518253717","0.0694234301395189"
"Seltener","1998","Realschule","Westdeutschland","196","","",""
"Seltener","1998","Realschule","Ostdeutschland","96","0.067349418851678","0.0542163674920186","0.0804824702113374"
"Seltener","1998","(Fach-)Abitur","Westdeutschland","111","","",""
"Seltener","1998","(Fach-)Abitur","Ostdeutschland","19","","",""
"Seltener","1998","AkademikerIn","Westdeutschland","170","","",""
"Seltener","1998","AkademikerIn","Ostdeutschland","132","","",""
"Nie","1998","(noch) kein Abschluss","Westdeutschland","647","0.923957592026604","0.904179814140043","0.943735369913164"
"Nie","1998","(noch) kein Abschluss","Ostdeutschland","118","","",""
"Nie","1998","Hauptschule","Westdeutschland","4459","0.88543011013044","0.87658146737506","0.89427875288582"
"Nie","1998","Hauptschule","Ostdeutschland","1072","","",""
"Nie","1998","Realschule","Westdeutschland","1742","","",""
"Nie","1998","Realschule","Ostdeutschland","1280","","",""
"Nie","1998","(Fach-)Abitur","Westdeutschland","839","0.85073880426056","0.82832528485232","0.8731523236688"
"Nie","1998","(Fach-)Abitur","Ostdeutschland","148","","",""
"Nie","1998","AkademikerIn","Westdeutschland","861","0.778327007030742","0.753746987713211","0.802907026348273"
"Nie","1998","AkademikerIn","Ostdeutschland","672","0.777980477386185","0.75026826801637","0.805692686756"
"Taeglich","1999","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1999","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1999","Hauptschule","Westdeutschland","","","",""
"Taeglich","1999","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1999","Realschule","Westdeutschland","","","",""
"Taeglich","1999","Realschule","Ostdeutschland","","","",""
"Taeglich","1999","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1999","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1999","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1999","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1999","(noch) kein Abschluss","Westdeutschland","4","0.0131075352954029","0.00443706218531801","0.0217780084054877"
"Min 1x pro Woche","1999","(noch) kein Abschluss","Ostdeutschland","1","","",""
