"pli0091_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Taeglich","1992","Hauptschule","Westdeutschland","","","",""
"Taeglich","1992","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1992","Realschule","Westdeutschland","","","",""
"Taeglich","1992","Realschule","Ostdeutschland","","","",""
"Taeglich","1992","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1992","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1992","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Westdeutschland","71","0.154362779366046","0.129263867299135","0.179461691432958"
"Min 1x pro Woche","1992","(noch) kein Abschluss","Ostdeutschland","25","","",""
"Min 1x pro Woche","1992","Hauptschule","Westdeutschland","322","0.0537314363484261","0.0475043692274538","0.0599585034693983"
"Min 1x pro Woche","1992","Hauptschule","Ostdeutschland","35","0.0218647387948406","0.0142015268336227","0.0295279507560586"
"Min 1x pro Woche","1992","Realschule","Westdeutschland","189","0.0938025636278174","0.0797390666913346","0.1078660605643"
"Min 1x pro Woche","1992","Realschule","Ostdeutschland","164","0.123277653737327","0.106202433477153","0.140352873997501"
"Min 1x pro Woche","1992","(Fach-)Abitur","Westdeutschland","145","0.18497542745133","0.157639135070467","0.212311719832193"
"Min 1x pro Woche","1992","(Fach-)Abitur","Ostdeutschland","22","","",""
"Min 1x pro Woche","1992","AkademikerIn","Westdeutschland","43","0.054245020084534","0.0378814357378068","0.0706086044312613"
"Min 1x pro Woche","1992","AkademikerIn","Ostdeutschland","21","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","Westdeutschland","88","0.160845011291019","0.135322908980265","0.186367113601773"
"Min 1x pro Monat","1992","(noch) kein Abschluss","Ostdeutschland","15","","",""
"Min 1x pro Monat","1992","Hauptschule","Westdeutschland","562","0.0936059519514902","0.0855619462406219","0.101649957662358"
"Min 1x pro Monat","1992","Hauptschule","Ostdeutschland","52","0.0360351586927638","0.0262687914636367","0.045801525921891"
"Min 1x pro Monat","1992","Realschule","Westdeutschland","370","0.19938397357668","0.180111750342341","0.218656196811019"
"Min 1x pro Monat","1992","Realschule","Ostdeutschland","209","0.151367070577007","0.132751826315534","0.16998231483848"
"Min 1x pro Monat","1992","(Fach-)Abitur","Westdeutschland","208","0.294953149457011","0.262847404814075","0.327058894099947"
"Min 1x pro Monat","1992","(Fach-)Abitur","Ostdeutschland","34","0.230268968016689","0.153322909937486","0.307215026095892"
"Min 1x pro Monat","1992","AkademikerIn","Westdeutschland","149","0.207926208501985","0.17860737935215","0.23724503765182"
"Min 1x pro Monat","1992","AkademikerIn","Ostdeutschland","93","0.112823222673593","0.0922562447269675","0.133390200620219"
"Seltener","1992","(noch) kein Abschluss","Westdeutschland","171","0.210539087745442","0.182217131883911","0.238861043606973"
"Seltener","1992","(noch) kein Abschluss","Ostdeutschland","18","","",""
"Seltener","1992","Hauptschule","Westdeutschland","1722","0.333501383622352","0.320481396289665","0.346521370955038"
"Seltener","1992","Hauptschule","Ostdeutschland","417","0.25688986550066","0.233994935946868","0.279784795054451"
"Seltener","1992","Realschule","Westdeutschland","688","0.4115572494121","0.387819377022539","0.43529512180166"
"Seltener","1992","Realschule","Ostdeutschland","711","0.476937928115484","0.450996096168942","0.502879760062026"
"Seltener","1992","(Fach-)Abitur","Westdeutschland","256","0.327907439189872","0.294856224992616","0.360958653387127"
"Seltener","1992","(Fach-)Abitur","Ostdeutschland","46","0.376909292869923","0.288337949730589","0.465480636009257"
"Seltener","1992","AkademikerIn","Westdeutschland","331","0.435074676143903","0.399257890458171","0.470891461829635"
"Seltener","1992","AkademikerIn","Ostdeutschland","540","0.547982694411517","0.515628759889585","0.580336628933448"
"Nie","1992","(noch) kein Abschluss","Westdeutschland","466","0.474253121597492","0.439564662562654","0.50894158063233"
"Nie","1992","(noch) kein Abschluss","Ostdeutschland","12","","",""
"Nie","1992","Hauptschule","Westdeutschland","2431","0.519161228077732","0.505363328468735","0.532959127686729"
"Nie","1992","Hauptschule","Ostdeutschland","895","0.685210237011736","0.660873550076888","0.709546923946584"
"Nie","1992","Realschule","Westdeutschland","404","0.295256213383403","0.273252817884513","0.317259608882293"
"Nie","1992","Realschule","Ostdeutschland","340","0.248417347570182","0.225974785744523","0.270859909395842"
"Nie","1992","(Fach-)Abitur","Westdeutschland","166","0.192163983901787","0.164424725736725","0.21990324206685"
"Nie","1992","(Fach-)Abitur","Ostdeutschland","13","","",""
"Nie","1992","AkademikerIn","Westdeutschland","213","0.302754095269578","0.26956104351191","0.335947147027246"
"Nie","1992","AkademikerIn","Ostdeutschland","255","0.314225615379675","0.284048510539896","0.344402720219454"
"Taeglich","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1993","Hauptschule","Westdeutschland","","","",""
"Taeglich","1993","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1993","Realschule","Westdeutschland","","","",""
"Taeglich","1993","Realschule","Ostdeutschland","","","",""
"Taeglich","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1993","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1993","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1993","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1993","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1993","Hauptschule","Westdeutschland","","","",""
"Seltener","1993","Hauptschule","Ostdeutschland","","","",""
"Seltener","1993","Realschule","Westdeutschland","","","",""
"Seltener","1993","Realschule","Ostdeutschland","","","",""
"Seltener","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1993","AkademikerIn","Westdeutschland","","","",""
"Seltener","1993","AkademikerIn","Ostdeutschland","","","",""
"Nie","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1993","Hauptschule","Westdeutschland","","","",""
"Nie","1993","Hauptschule","Ostdeutschland","","","",""
"Nie","1993","Realschule","Westdeutschland","","","",""
"Nie","1993","Realschule","Ostdeutschland","","","",""
"Nie","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1993","AkademikerIn","Westdeutschland","","","",""
"Nie","1993","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1994","Hauptschule","Westdeutschland","","","",""
"Taeglich","1994","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1994","Realschule","Westdeutschland","","","",""
"Taeglich","1994","Realschule","Ostdeutschland","","","",""
"Taeglich","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1994","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1994","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","Westdeutschland","88","0.199568276879987","0.170849263017805","0.228287290742169"
"Min 1x pro Woche","1994","(noch) kein Abschluss","Ostdeutschland","36","0.341131714293005","0.248211876898409","0.434051551687601"
"Min 1x pro Woche","1994","Hauptschule","Westdeutschland","333","0.0577101604680784","0.0510834207885057","0.064336900147651"
"Min 1x pro Woche","1994","Hauptschule","Ostdeutschland","33","0.0220767793583756","0.0139893834848508","0.0301641752319003"
"Min 1x pro Woche","1994","Realschule","Westdeutschland","191","0.100854722207115","0.0863640694111488","0.115345375003082"
"Min 1x pro Woche","1994","Realschule","Ostdeutschland","157","0.114679192722349","0.0977695841295968","0.131588801315101"
"Min 1x pro Woche","1994","(Fach-)Abitur","Westdeutschland","128","0.166969133884428","0.140745901380933","0.193192366387922"
"Min 1x pro Woche","1994","(Fach-)Abitur","Ostdeutschland","40","0.320178038538263","0.242338202438636","0.39801787463789"
"Min 1x pro Woche","1994","AkademikerIn","Westdeutschland","44","0.0526160921347783","0.0370570754781559","0.0681751087914008"
"Min 1x pro Woche","1994","AkademikerIn","Ostdeutschland","21","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","Westdeutschland","88","0.161015510613314","0.134605264641893","0.187425756584735"
"Min 1x pro Monat","1994","(noch) kein Abschluss","Ostdeutschland","27","","",""
"Min 1x pro Monat","1994","Hauptschule","Westdeutschland","500","0.0951178042096769","0.0867808302506258","0.103454778168728"
"Min 1x pro Monat","1994","Hauptschule","Ostdeutschland","45","0.0314858422991814","0.0218741666034343","0.0410975179949284"
"Min 1x pro Monat","1994","Realschule","Westdeutschland","371","0.18953797941017","0.170678080731366","0.208397878088974"
"Min 1x pro Monat","1994","Realschule","Ostdeutschland","218","0.158210686511897","0.138843768347945","0.177577604675849"
"Min 1x pro Monat","1994","(Fach-)Abitur","Westdeutschland","233","0.290346766681385","0.258429979221123","0.322263554141648"
"Min 1x pro Monat","1994","(Fach-)Abitur","Ostdeutschland","37","0.22271326501872","0.153295245638631","0.292131284398809"
"Min 1x pro Monat","1994","AkademikerIn","Westdeutschland","184","0.225667100973546","0.196535937527476","0.254798264419615"
"Min 1x pro Monat","1994","AkademikerIn","Ostdeutschland","81","0.0914134187987706","0.0720845120563558","0.110742325541185"
"Seltener","1994","(noch) kein Abschluss","Westdeutschland","153","0.208911482277081","0.179699884035587","0.238123080518575"
"Seltener","1994","(noch) kein Abschluss","Ostdeutschland","29","","",""
"Seltener","1994","Hauptschule","Westdeutschland","1687","0.342799331502337","0.329311240210579","0.356287422794094"
"Seltener","1994","Hauptschule","Ostdeutschland","323","0.219249282152373","0.19647662276544","0.242021941539305"
"Seltener","1994","Realschule","Westdeutschland","744","0.449666927713117","0.42572918593611","0.473604669490125"
"Seltener","1994","Realschule","Ostdeutschland","678","0.486950473109121","0.460425011670702","0.513475934547541"
"Seltener","1994","(Fach-)Abitur","Westdeutschland","270","0.374575260860503","0.340542698029722","0.408607823691283"
"Seltener","1994","(Fach-)Abitur","Ostdeutschland","47","0.323368170710775","0.245325271520253","0.401411069901298"
"Seltener","1994","AkademikerIn","Westdeutschland","381","0.469481661216552","0.434702478988655","0.50426084344445"
"Seltener","1994","AkademikerIn","Ostdeutschland","500","0.544857838891655","0.511458775270273","0.578256902513037"
"Nie","1994","(noch) kein Abschluss","Westdeutschland","415","0.430504730229618","0.394925573735089","0.466083886724147"
"Nie","1994","(noch) kein Abschluss","Ostdeutschland","8","","",""
"Nie","1994","Hauptschule","Westdeutschland","2237","0.504372703819908","0.490164639610183","0.518580768029633"
"Nie","1994","Hauptschule","Ostdeutschland","867","0.72718809619007","0.702672441085209","0.751703751294931"
"Nie","1994","Realschule","Westdeutschland","353","0.259940370669597","0.238834896104826","0.281045845234368"
"Nie","1994","Realschule","Ostdeutschland","311","0.240159647656633","0.217489617307055","0.262829678006211"
"Nie","1994","(Fach-)Abitur","Westdeutschland","146","0.168108838573684","0.141814266308458","0.194403410838911"
"Nie","1994","(Fach-)Abitur","Ostdeutschland","14","","",""
"Nie","1994","AkademikerIn","Westdeutschland","182","0.252235145675124","0.221969832399211","0.282500458951037"
"Nie","1994","AkademikerIn","Ostdeutschland","252","0.336943614757241","0.305242611857975","0.368644617656506"
"Taeglich","1995","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1995","Hauptschule","Westdeutschland","2","","",""
"Taeglich","1995","Hauptschule","Ostdeutschland","1","","",""
"Taeglich","1995","Realschule","Westdeutschland","","","",""
"Taeglich","1995","Realschule","Ostdeutschland","1","","",""
"Taeglich","1995","(Fach-)Abitur","Westdeutschland","3","","",""
"Taeglich","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1995","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1995","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","Westdeutschland","93","0.209594004218689","0.180713793181425","0.238474215255954"
"Min 1x pro Woche","1995","(noch) kein Abschluss","Ostdeutschland","43","0.373439161613794","0.28464442599566","0.462233897231929"
"Min 1x pro Woche","1995","Hauptschule","Westdeutschland","241","0.0377593456769204","0.0324113350589723","0.0431073562948685"
"Min 1x pro Woche","1995","Hauptschule","Ostdeutschland","18","","",""
"Min 1x pro Woche","1995","Realschule","Westdeutschland","171","0.0741709465511126","0.0619491498669967","0.0863927432352285"
"Min 1x pro Woche","1995","Realschule","Ostdeutschland","117","0.0846742163835236","0.0697403968340657","0.0996080359329815"
"Min 1x pro Woche","1995","(Fach-)Abitur","Westdeutschland","98","0.104503297339807","0.0845836803071641","0.124422914372449"
"Min 1x pro Woche","1995","(Fach-)Abitur","Ostdeutschland","35","0.212097061989127","0.147322264798881","0.276871859179373"
"Min 1x pro Woche","1995","AkademikerIn","Westdeutschland","43","0.0401541783050013","0.0274267369649691","0.0528816196450335"
"Min 1x pro Woche","1995","AkademikerIn","Ostdeutschland","8","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","Westdeutschland","95","0.189159368410344","0.161370715053028","0.21694802176766"
"Min 1x pro Monat","1995","(noch) kein Abschluss","Ostdeutschland","38","0.323748965241794","0.23785674457556","0.409641185908028"
"Min 1x pro Monat","1995","Hauptschule","Westdeutschland","490","0.0842219651874148","0.0764300184228645","0.0920139119519651"
"Min 1x pro Monat","1995","Hauptschule","Ostdeutschland","49","0.0339213108162702","0.0237255747704757","0.0441170468620648"
"Min 1x pro Monat","1995","Realschule","Westdeutschland","356","0.175310436603164","0.157576633740715","0.193044239465613"
"Min 1x pro Monat","1995","Realschule","Ostdeutschland","235","0.170641571861791","0.150461578880167","0.190821564843415"
"Min 1x pro Monat","1995","(Fach-)Abitur","Westdeutschland","262","0.304632236754305","0.274662757384528","0.334601716124081"
"Min 1x pro Monat","1995","(Fach-)Abitur","Ostdeutschland","54","0.369378688004165","0.292903137011883","0.445854238996446"
"Min 1x pro Monat","1995","AkademikerIn","Westdeutschland","179","0.194161887609269","0.168518175788625","0.219805599429913"
"Min 1x pro Monat","1995","AkademikerIn","Ostdeutschland","86","0.0884869791385319","0.0692007770466658","0.107773181230398"
"Seltener","1995","(noch) kein Abschluss","Westdeutschland","115","0.158088022074578","0.132201801402076","0.183974242747079"
"Seltener","1995","(noch) kein Abschluss","Ostdeutschland","23","","",""
"Seltener","1995","Hauptschule","Westdeutschland","1463","0.288852860849861","0.276136693046225","0.301569028653497"
"Seltener","1995","Hauptschule","Ostdeutschland","308","0.207062440395845","0.184240835699431","0.229884045092258"
"Seltener","1995","Realschule","Westdeutschland","781","0.426274630206379","0.403209839832981","0.449339420579778"
"Seltener","1995","Realschule","Ostdeutschland","661","0.478341685794157","0.451545706111062","0.505137665477252"
"Seltener","1995","(Fach-)Abitur","Westdeutschland","308","0.346054553228036","0.315078431931648","0.377030674524424"
"Seltener","1995","(Fach-)Abitur","Ostdeutschland","47","0.27451128320843","0.203798520245157","0.345224046171703"
"Seltener","1995","AkademikerIn","Westdeutschland","425","0.45318161390545","0.420909108040785","0.485454119770114"
"Seltener","1995","AkademikerIn","Ostdeutschland","449","0.485941557488134","0.452000618035226","0.519882496941042"
"Nie","1995","(noch) kein Abschluss","Westdeutschland","460","0.443158605296389","0.407910873780521","0.478406336812258"
"Nie","1995","(noch) kein Abschluss","Ostdeutschland","10","","",""
"Nie","1995","Hauptschule","Westdeutschland","2684","0.589006665734439","0.575202324888656","0.602811006580222"
"Nie","1995","Hauptschule","Ostdeutschland","835","0.746109918916714","0.721596702840539","0.77062313499289"
"Nie","1995","Realschule","Westdeutschland","458","0.324243986639344","0.302412482119771","0.346075491158917"
"Nie","1995","Realschule","Ostdeutschland","321","0.266005356523362","0.242302586953528","0.289708126093197"
"Nie","1995","(Fach-)Abitur","Westdeutschland","235","0.238245497520043","0.210505663506842","0.265985331533244"
"Nie","1995","(Fach-)Abitur","Ostdeutschland","17","","",""
"Nie","1995","AkademikerIn","Westdeutschland","267","0.31250232018028","0.282452821249118","0.342551819111442"
"Nie","1995","AkademikerIn","Ostdeutschland","290","0.411527194760971","0.378108609611044","0.444945779910899"
"Taeglich","1996","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1996","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1996","Hauptschule","Westdeutschland","","","",""
"Taeglich","1996","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1996","Realschule","Westdeutschland","","","",""
"Taeglich","1996","Realschule","Ostdeutschland","","","",""
"Taeglich","1996","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1996","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1996","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1996","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","Westdeutschland","87","0.211153716007579","0.18134265733969","0.240964774675468"
"Min 1x pro Woche","1996","(noch) kein Abschluss","Ostdeutschland","45","0.356975381926792","0.269788322591749","0.444162441261835"
"Min 1x pro Woche","1996","Hauptschule","Westdeutschland","312","0.0601738567265425","0.0533938688540358","0.0669538445990492"
"Min 1x pro Woche","1996","Hauptschule","Ostdeutschland","26","","",""
"Min 1x pro Woche","1996","Realschule","Westdeutschland","209","0.106107157781641","0.0917555933472769","0.120458722216004"
"Min 1x pro Woche","1996","Realschule","Ostdeutschland","135","0.0884905175519655","0.0732614320485113","0.10371960305542"
"Min 1x pro Woche","1996","(Fach-)Abitur","Westdeutschland","138","0.158823934118503","0.134423593643724","0.183224274593283"
"Min 1x pro Woche","1996","(Fach-)Abitur","Ostdeutschland","48","0.330144339567062","0.257951049829353","0.402337629304771"
"Min 1x pro Woche","1996","AkademikerIn","Westdeutschland","59","0.0556423034490489","0.0408379621689316","0.0704466447291662"
"Min 1x pro Woche","1996","AkademikerIn","Ostdeutschland","25","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","Westdeutschland","108","0.22070254078085","0.190409899685666","0.250995181876034"
"Min 1x pro Monat","1996","(noch) kein Abschluss","Ostdeutschland","42","0.336224993708719","0.250255465927513","0.422194521489925"
"Min 1x pro Monat","1996","Hauptschule","Westdeutschland","616","0.114500307639568","0.10542212812277","0.123578487156367"
"Min 1x pro Monat","1996","Hauptschule","Ostdeutschland","82","0.0645915256799733","0.050572702316259","0.0786103490436876"
"Min 1x pro Monat","1996","Realschule","Westdeutschland","443","0.21619943993231","0.197016540870845","0.235382338993775"
"Min 1x pro Monat","1996","Realschule","Ostdeutschland","289","0.232690849933766","0.210032947441744","0.255348752425787"
"Min 1x pro Monat","1996","(Fach-)Abitur","Westdeutschland","239","0.295326390327225","0.264872723623183","0.325780057031267"
"Min 1x pro Monat","1996","(Fach-)Abitur","Ostdeutschland","55","0.284881073585883","0.215590329732211","0.354171817439556"
"Min 1x pro Monat","1996","AkademikerIn","Westdeutschland","225","0.231351009918041","0.204116597726166","0.258585422109916"
"Min 1x pro Monat","1996","AkademikerIn","Ostdeutschland","132","0.145941905790541","0.122024224465211","0.16985958711587"
"Seltener","1996","(noch) kein Abschluss","Westdeutschland","152","0.200413152841832","0.171173125544541","0.229653180139122"
"Seltener","1996","(noch) kein Abschluss","Ostdeutschland","21","","",""
"Seltener","1996","Hauptschule","Westdeutschland","1718","0.35072046784188","0.337115496087133","0.364325439596627"
"Seltener","1996","Hauptschule","Ostdeutschland","423","0.315547316321925","0.28904235938202","0.34205227326183"
"Seltener","1996","Realschule","Westdeutschland","780","0.441548451690698","0.418408305018982","0.464688598362415"
"Seltener","1996","Realschule","Ostdeutschland","689","0.493480323781291","0.466671488720695","0.520289158841887"
"Seltener","1996","(Fach-)Abitur","Westdeutschland","318","0.349661016508606","0.317827254882119","0.381494778135093"
"Seltener","1996","(Fach-)Abitur","Ostdeutschland","48","0.291503522674491","0.221737327253265","0.361269718095717"
"Seltener","1996","AkademikerIn","Westdeutschland","449","0.476753673133388","0.444497087601673","0.509010258665102"
"Seltener","1996","AkademikerIn","Ostdeutschland","483","0.545741972923651","0.512010885245198","0.579473060602104"
"Nie","1996","(noch) kein Abschluss","Westdeutschland","373","0.367730590369739","0.332509904619455","0.402951276120023"
"Nie","1996","(noch) kein Abschluss","Ostdeutschland","8","","",""
"Nie","1996","Hauptschule","Westdeutschland","2080","0.474605367792009","0.460368633783936","0.488842101800083"
"Nie","1996","Hauptschule","Ostdeutschland","650","0.602271863591809","0.574358473354504","0.630185253829113"
"Nie","1996","Realschule","Westdeutschland","337","0.236144950595351","0.216353438171248","0.255936463019454"
"Nie","1996","Realschule","Ostdeutschland","223","0.185338308732978","0.164502224377833","0.206174393088122"
"Nie","1996","(Fach-)Abitur","Westdeutschland","167","0.196188659045665","0.169678735686845","0.222698582404486"
"Nie","1996","(Fach-)Abitur","Ostdeutschland","12","","",""
"Nie","1996","AkademikerIn","Westdeutschland","188","0.236253013499523","0.208819482534996","0.26368654446405"
"Nie","1996","AkademikerIn","Ostdeutschland","197","0.279299354726572","0.248904660153992","0.309694049299151"
"Taeglich","1997","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1997","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1997","Hauptschule","Westdeutschland","","","",""
"Taeglich","1997","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1997","Realschule","Westdeutschland","","","",""
"Taeglich","1997","Realschule","Ostdeutschland","","","",""
"Taeglich","1997","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1997","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1997","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1997","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","(noch) kein Abschluss","Westdeutschland","90","0.174186113798152","0.146049732856003","0.202322494740301"
"Min 1x pro Woche","1997","(noch) kein Abschluss","Ostdeutschland","43","0.327965493874839","0.247263125959872","0.408667861789806"
"Min 1x pro Woche","1997","Hauptschule","Westdeutschland","262","0.0487769859867957","0.0425346280721538","0.0550193439014376"
"Min 1x pro Woche","1997","Hauptschule","Ostdeutschland","32","0.0248502323946281","0.0158018958222357","0.0338985689670206"
"Min 1x pro Woche","1997","Realschule","Westdeutschland","192","0.0964790831411745","0.0827245090452222","0.110233657237127"
"Min 1x pro Woche","1997","Realschule","Ostdeutschland","133","0.0973994899301394","0.0812257260545314","0.113573253805747"
"Min 1x pro Woche","1997","(Fach-)Abitur","Westdeutschland","127","0.141306148510241","0.117819586830547","0.164792710189935"
"Min 1x pro Woche","1997","(Fach-)Abitur","Ostdeutschland","50","0.348713571800831","0.277075470034284","0.420351673567378"
"Min 1x pro Woche","1997","AkademikerIn","Westdeutschland","71","0.0782142442877696","0.0609013359970634","0.0955271525784759"
"Min 1x pro Woche","1997","AkademikerIn","Ostdeutschland","30","0.0422559445274703","0.028619109340385","0.0558927797145556"
"Min 1x pro Monat","1997","(noch) kein Abschluss","Westdeutschland","101","0.197145465468772","0.167631184442464","0.226659746495079"
"Min 1x pro Monat","1997","(noch) kein Abschluss","Ostdeutschland","44","0.283984398380784","0.206469550649042","0.361499246112527"
"Min 1x pro Monat","1997","Hauptschule","Westdeutschland","565","0.106083673643778","0.097159403238973","0.115007944048582"
"Min 1x pro Monat","1997","Hauptschule","Ostdeutschland","74","0.0585447163364001","0.0448985217335366","0.0721909109392636"
"Min 1x pro Monat","1997","Realschule","Westdeutschland","416","0.214334421301004","0.195217133319159","0.23345170928285"
"Min 1x pro Monat","1997","Realschule","Ostdeutschland","262","0.203242071931093","0.181291038383054","0.225193105479132"
"Min 1x pro Monat","1997","(Fach-)Abitur","Westdeutschland","241","0.306771319074212","0.275678122347193","0.33786451580123"
"Min 1x pro Monat","1997","(Fach-)Abitur","Ostdeutschland","56","0.290455202279321","0.22221298641914","0.358697418139503"
"Min 1x pro Monat","1997","AkademikerIn","Westdeutschland","213","0.225706262004296","0.198751420465128","0.252661103543464"
"Min 1x pro Monat","1997","AkademikerIn","Ostdeutschland","146","0.15032873278926","0.126102191481066","0.174555274097454"
"Seltener","1997","(noch) kein Abschluss","Westdeutschland","147","0.211848022969066","0.18153441903072","0.242161626907411"
"Seltener","1997","(noch) kein Abschluss","Ostdeutschland","34","0.277408609547632","0.200445470267872","0.354371748827391"
"Seltener","1997","Hauptschule","Westdeutschland","1647","0.353985361355979","0.340126937441401","0.367843785270557"
"Seltener","1997","Hauptschule","Ostdeutschland","362","0.276348933115064","0.250355636767745","0.302342229462384"
"Seltener","1997","Realschule","Westdeutschland","794","0.430711251509005","0.407642671271191","0.453779831746818"
"Seltener","1997","Realschule","Ostdeutschland","676","0.51596236839998","0.488701885340417","0.543222851459543"
"Seltener","1997","(Fach-)Abitur","Westdeutschland","315","0.375306108192272","0.342658889934942","0.407953326449602"
"Seltener","1997","(Fach-)Abitur","Ostdeutschland","54","0.297821461610962","0.229078949100421","0.366563974121502"
"Seltener","1997","AkademikerIn","Westdeutschland","437","0.442848953817409","0.410821206601994","0.474876701032823"
"Seltener","1997","AkademikerIn","Ostdeutschland","451","0.505867161970664","0.471976109595936","0.539758214345393"
"Nie","1997","(noch) kein Abschluss","Westdeutschland","360","0.416820397764011","0.38024441330152","0.453396382226501"
"Nie","1997","(noch) kein Abschluss","Ostdeutschland","9","","",""
"Nie","1997","Hauptschule","Westdeutschland","2100","0.491153979013448","0.476666192569117","0.505641765457778"
"Nie","1997","Hauptschule","Ostdeutschland","669","0.640256118153908","0.612360150191915","0.6681520861159"
"Nie","1997","Realschule","Westdeutschland","368","0.258475244048817","0.23807977196473","0.278870716132903"
"Nie","1997","Realschule","Ostdeutschland","220","0.183396069738788","0.16228619214963","0.204505947327945"
"Nie","1997","(Fach-)Abitur","Westdeutschland","162","0.176616424223275","0.150904393383317","0.202328455063234"
"Nie","1997","(Fach-)Abitur","Ostdeutschland","10","","",""
"Nie","1997","AkademikerIn","Westdeutschland","203","0.253230539890526","0.225191481810141","0.28126959797091"
