"ple0044_h","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","35-65","kein Migrationshintergrund","3513","0.637753822386982","0.625228657767947","0.650278987006016"
"Ja","1999","35-65","direkter Migrationshintergrund","883","0.676461769591093","0.650599604258494","0.702323934923692"
"Ja","1999","35-65","indirekter Migrationshintergrund","31","0.780785452050168","0.664947573966673","0.896623330133664"
"Ja","1999","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1999","66 +","kein Migrationshintergrund","1475","","",""
"Ja","1999","66 +","direkter Migrationshintergrund","239","","",""
"Ja","1999","66 +","indirekter Migrationshintergrund","5","0.64342153083591","0.260157715414207","1.02668534625761"
"Ja","1999","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2000","17-34","kein Migrationshintergrund","1715","","",""
"keinen Tag","2000","17-34","direkter Migrationshintergrund","275","","",""
"keinen Tag","2000","17-34","indirekter Migrationshintergrund","200","","",""
"keinen Tag","2000","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2000","35-65","kein Migrationshintergrund","4014","0.363711323684658","0.354692219858389","0.372730427510927"
"keinen Tag","2000","35-65","direkter Migrationshintergrund","588","0.335585693241167","0.314320011488436","0.356851374993897"
"keinen Tag","2000","35-65","indirekter Migrationshintergrund","36","0.386028995256373","0.287612463028513","0.484445527484232"
"keinen Tag","2000","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2000","66 +","kein Migrationshintergrund","78","0.0248874269872893","0.0194992070338608","0.0302756469407178"
"keinen Tag","2000","66 +","direkter Migrationshintergrund","6","0.0148422671713336","0.00222795001427607","0.0274565843283912"
"keinen Tag","2000","66 +","indirekter Migrationshintergrund","2","","",""
"keinen Tag","2000","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","17-34","kein Migrationshintergrund","3438","0.661314360427704","0.648392638588633","0.674236082266775"
"Ja","2000","17-34","direkter Migrationshintergrund","659","0.698968878051969","0.669551140371889","0.728386615732048"
"Ja","2000","17-34","indirekter Migrationshintergrund","484","0.71728736902518","0.683540053042009","0.75103468500835"
"Ja","2000","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","35-65","kein Migrationshintergrund","6915","0.636288676315342","0.627269572489073","0.645307780141611"
"Ja","2000","35-65","direkter Migrationshintergrund","1306","","",""
"Ja","2000","35-65","indirekter Migrationshintergrund","58","0.613971004743628","0.515554472515768","0.712387536971487"
"Ja","2000","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","66 +","kein Migrationshintergrund","3133","0.975112573012711","0.969724353059282","0.980500792966139"
"Ja","2000","66 +","direkter Migrationshintergrund","347","0.985157732828666","0.972543415671609","0.997772049985724"
"Ja","2000","66 +","indirekter Migrationshintergrund","15","","",""
"Ja","2000","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2001","17-34","kein Migrationshintergrund","1531","","",""
"keinen Tag","2001","17-34","direkter Migrationshintergrund","233","","",""
"keinen Tag","2001","17-34","indirekter Migrationshintergrund","187","","",""
"keinen Tag","2001","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2001","35-65","kein Migrationshintergrund","3750","0.368865523414839","0.359449151701463","0.378281895128214"
"keinen Tag","2001","35-65","direkter Migrationshintergrund","541","0.33993503462428","0.317311088823065","0.362558980425495"
"keinen Tag","2001","35-65","indirekter Migrationshintergrund","31","0.296792293538814","0.205878381772829","0.387706205304799"
"keinen Tag","2001","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2001","66 +","kein Migrationshintergrund","75","0.0262063504213545","0.0205192373390385","0.0318934635036706"
"keinen Tag","2001","66 +","direkter Migrationshintergrund","11","","",""
"keinen Tag","2001","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2001","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","17-34","kein Migrationshintergrund","3061","0.653695804661541","0.639934364798167","0.667457244524915"
"Ja","2001","17-34","direkter Migrationshintergrund","558","0.69264406091332","0.660490008795662","0.724798113030978"
"Ja","2001","17-34","indirekter Migrationshintergrund","438","0.697982930980726","0.661987595324184","0.733978266637268"
"Ja","2001","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","35-65","kein Migrationshintergrund","6336","0.631134476585161","0.621718104871786","0.640550848298537"
"Ja","2001","35-65","direkter Migrationshintergrund","1143","","",""
"Ja","2001","35-65","indirekter Migrationshintergrund","66","0.703207706461186","0.612293794695201","0.794121618227171"
"Ja","2001","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","66 +","kein Migrationshintergrund","2956","","",""
"Ja","2001","66 +","direkter Migrationshintergrund","322","0.961523996588031","0.94086539047689","0.982182602699172"
"Ja","2001","66 +","indirekter Migrationshintergrund","16","","",""
"Ja","2001","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2002","17-34","kein Migrationshintergrund","1483","","",""
"keinen Tag","2002","17-34","direkter Migrationshintergrund","218","","",""
"keinen Tag","2002","17-34","indirekter Migrationshintergrund","177","","",""
"keinen Tag","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2002","35-65","kein Migrationshintergrund","4334","0.376180796638954","0.367144484273645","0.385217109004263"
"keinen Tag","2002","35-65","direkter Migrationshintergrund","524","0.311428903029789","0.289030587044897","0.33382721901468"
"keinen Tag","2002","35-65","indirekter Migrationshintergrund","51","0.384804056922852","0.299166592343316","0.470441521502388"
"keinen Tag","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2002","66 +","kein Migrationshintergrund","114","","",""
"keinen Tag","2002","66 +","direkter Migrationshintergrund","10","","",""
"keinen Tag","2002","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","17-34","kein Migrationshintergrund","3099","0.672520380399702","0.658932071463346","0.686108689336058"
"Ja","2002","17-34","direkter Migrationshintergrund","488","0.680509115129314","0.646114381534106","0.714903848724522"
"Ja","2002","17-34","indirekter Migrationshintergrund","427","0.710976845046892","0.674825565876158","0.747128124217625"
"Ja","2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","35-65","kein Migrationshintergrund","6706","0.623819203361046","0.614782890995737","0.632855515726355"
"Ja","2002","35-65","direkter Migrationshintergrund","1118","","",""
"Ja","2002","35-65","indirekter Migrationshintergrund","73","0.615195943077147","0.529558478497611","0.700833407656683"
"Ja","2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","66 +","kein Migrationshintergrund","3091","0.973303860703227","0.967723239729352","0.978884481677102"
"Ja","2002","66 +","direkter Migrationshintergrund","336","0.970303067514185","0.952416807509102","0.988189327519268"
"Ja","2002","66 +","indirekter Migrationshintergrund","13","","",""
"Ja","2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2003","17-34","kein Migrationshintergrund","1357","","",""
"keinen Tag","2003","17-34","direkter Migrationshintergrund","207","","",""
"keinen Tag","2003","17-34","indirekter Migrationshintergrund","189","","",""
"keinen Tag","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2003","35-65","kein Migrationshintergrund","4085","0.371016292375933","0.361813516433423","0.380219068318442"
"keinen Tag","2003","35-65","direkter Migrationshintergrund","528","0.355630445705414","0.331643809479317","0.379617081931512"
"keinen Tag","2003","35-65","indirekter Migrationshintergrund","47","0.336968663341893","0.255083561932147","0.41885376475164"
"keinen Tag","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2003","66 +","kein Migrationshintergrund","94","0.0237835133077882","0.0185456919791215","0.0290213346364549"
"keinen Tag","2003","66 +","direkter Migrationshintergrund","16","","",""
"keinen Tag","2003","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","17-34","kein Migrationshintergrund","3023","0.68447933584639","0.670716589356701","0.698242082336079"
"Ja","2003","17-34","direkter Migrationshintergrund","432","0.680627027938757","0.644477607626014","0.7167764482515"
"Ja","2003","17-34","indirekter Migrationshintergrund","419","0.695648994385086","0.659074464486312","0.73222352428386"
"Ja","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","35-65","kein Migrationshintergrund","6500","0.628983707624067","0.619780931681558","0.638186483566577"
"Ja","2003","35-65","direkter Migrationshintergrund","1002","","",""
"Ja","2003","35-65","indirekter Migrationshintergrund","81","0.663031336658107","0.58114623524836","0.744916438067854"
"Ja","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","66 +","kein Migrationshintergrund","3157","0.976216486692212","0.970978665363545","0.981454308020879"
"Ja","2003","66 +","direkter Migrationshintergrund","340","0.951190181572563","0.928807590130309","0.973572773014816"
"Ja","2003","66 +","indirekter Migrationshintergrund","12","","",""
"Ja","2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2004","17-34","kein Migrationshintergrund","1313","","",""
"keinen Tag","2004","17-34","direkter Migrationshintergrund","199","","",""
"keinen Tag","2004","17-34","indirekter Migrationshintergrund","189","","",""
"keinen Tag","2004","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2004","35-65","kein Migrationshintergrund","4045","0.37688482590192","0.367479847881613","0.386289803922227"
"keinen Tag","2004","35-65","direkter Migrationshintergrund","480","0.312532780156526","0.289052083615624","0.336013476697428"
"keinen Tag","2004","35-65","indirekter Migrationshintergrund","52","0.296511136683662","0.223177356066456","0.369844917300868"
"keinen Tag","2004","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2004","66 +","kein Migrationshintergrund","125","","",""
"keinen Tag","2004","66 +","direkter Migrationshintergrund","14","","",""
"keinen Tag","2004","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2004","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","17-34","kein Migrationshintergrund","2887","","",""
"Ja","2004","17-34","direkter Migrationshintergrund","407","0.659327311846206","0.621593474699198","0.697061148993213"
"Ja","2004","17-34","indirekter Migrationshintergrund","431","0.716791583808939","0.68132643612969","0.752256731488188"
"Ja","2004","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","35-65","kein Migrationshintergrund","6154","0.62311517409808","0.613710196077773","0.632520152118387"
"Ja","2004","35-65","direkter Migrationshintergrund","1017","","",""
"Ja","2004","35-65","indirekter Migrationshintergrund","97","0.703488863316338","0.630155082699132","0.776822643933544"
"Ja","2004","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","66 +","kein Migrationshintergrund","3237","0.969089068845999","0.96323864773153","0.974939489960468"
"Ja","2004","66 +","direkter Migrationshintergrund","347","0.965747655960314","0.946985986939788","0.984509324980839"
"Ja","2004","66 +","indirekter Migrationshintergrund","10","","",""
"Ja","2004","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2005","17-34","kein Migrationshintergrund","1259","","",""
"keinen Tag","2005","17-34","direkter Migrationshintergrund","149","","",""
"keinen Tag","2005","17-34","indirekter Migrationshintergrund","170","","",""
"keinen Tag","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2005","35-65","kein Migrationshintergrund","3851","0.378663918985997","0.369012132512247","0.388315705459746"
"keinen Tag","2005","35-65","direkter Migrationshintergrund","490","0.349102604611248","0.324387367120438","0.373817842102058"
"keinen Tag","2005","35-65","indirekter Migrationshintergrund","59","0.287572099266276","0.216084359829031","0.359059838703521"
"keinen Tag","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2005","66 +","kein Migrationshintergrund","113","","",""
"keinen Tag","2005","66 +","direkter Migrationshintergrund","11","","",""
"keinen Tag","2005","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","17-34","kein Migrationshintergrund","2744","","",""
"Ja","2005","17-34","direkter Migrationshintergrund","358","0.69696330008779","0.656959920762575","0.736966679413006"
"Ja","2005","17-34","indirekter Migrationshintergrund","469","0.731367947607209","0.697000716870766","0.765735178343652"
"Ja","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","35-65","kein Migrationshintergrund","5851","0.621336081014003","0.611684294540254","0.630987867487753"
"Ja","2005","35-65","direkter Migrationshintergrund","939","0.650897395388752","0.626182157897942","0.675612632879562"
"Ja","2005","35-65","indirekter Migrationshintergrund","95","0.712427900733724","0.640940161296479","0.783915640170969"
"Ja","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","66 +","kein Migrationshintergrund","3256","0.970828056886364","0.965145400137856","0.976510713634871"
"Ja","2005","66 +","direkter Migrationshintergrund","355","0.970862516328146","0.95363143878481","0.988093593871482"
"Ja","2005","66 +","indirekter Migrationshintergrund","12","","",""
"Ja","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2006","17-34","kein Migrationshintergrund","1204","","",""
"keinen Tag","2006","17-34","direkter Migrationshintergrund","169","","",""
"keinen Tag","2006","17-34","indirekter Migrationshintergrund","176","","",""
"keinen Tag","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2006","35-65","kein Migrationshintergrund","4233","0.391132642731377","0.381797559734048","0.400467725728706"
"keinen Tag","2006","35-65","direkter Migrationshintergrund","485","0.335110610930728","0.310455012134721","0.359766209726736"
"keinen Tag","2006","35-65","indirekter Migrationshintergrund","58","0.258061664812451","0.194315441980594","0.321807887644309"
"keinen Tag","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2006","66 +","kein Migrationshintergrund","161","","",""
"keinen Tag","2006","66 +","direkter Migrationshintergrund","16","","",""
"keinen Tag","2006","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","17-34","kein Migrationshintergrund","2609","","",""
"Ja","2006","17-34","direkter Migrationshintergrund","352","0.66514386687515","0.624619507908125","0.705668225842175"
"Ja","2006","17-34","indirekter Migrationshintergrund","424","0.71532435765745","0.679216715709981","0.751431999604918"
"Ja","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","35-65","kein Migrationshintergrund","6265","0.608867357268623","0.599532274271294","0.618202440265952"
"Ja","2006","35-65","direkter Migrationshintergrund","923","0.664889389069272","0.640233790273264","0.689544987865279"
"Ja","2006","35-65","indirekter Migrationshintergrund","123","","",""
"Ja","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","66 +","kein Migrationshintergrund","3846","0.967283220236708","0.961775136651526","0.97279130382189"
"Ja","2006","66 +","direkter Migrationshintergrund","370","0.966329535519626","0.948334959463988","0.984324111575265"
"Ja","2006","66 +","indirekter Migrationshintergrund","12","","",""
"Ja","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2007","17-34","kein Migrationshintergrund","1100","","",""
"keinen Tag","2007","17-34","direkter Migrationshintergrund","154","","",""
"keinen Tag","2007","17-34","indirekter Migrationshintergrund","169","","",""
"keinen Tag","2007","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2007","35-65","kein Migrationshintergrund","3880","0.384039392797604","0.374346981089829","0.393731804505379"
"keinen Tag","2007","35-65","direkter Migrationshintergrund","437","0.342600355881843","0.316333507939967","0.368867203823719"
"keinen Tag","2007","35-65","indirekter Migrationshintergrund","67","0.306917785458633","0.240635874028004","0.373199696889263"
"keinen Tag","2007","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2007","66 +","kein Migrationshintergrund","150","","",""
"keinen Tag","2007","66 +","direkter Migrationshintergrund","13","","",""
"keinen Tag","2007","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2007","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","17-34","kein Migrationshintergrund","2433","","",""
"Ja","2007","17-34","direkter Migrationshintergrund","274","","",""
"Ja","2007","17-34","indirekter Migrationshintergrund","395","0.692737171474775","0.654661480174437","0.730812862775113"
"Ja","2007","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","35-65","kein Migrationshintergrund","5793","0.615960607202396","0.606268195494621","0.625653018910171"
"Ja","2007","35-65","direkter Migrationshintergrund","817","0.657399644118157","0.631132796176281","0.683666492060033"
"Ja","2007","35-65","indirekter Migrationshintergrund","119","","",""
"Ja","2007","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","66 +","kein Migrationshintergrund","3779","0.963691422171787","0.957842434682064","0.969540409661509"
"Ja","2007","66 +","direkter Migrationshintergrund","360","0.962585775862118","0.943326863059184","0.981844688665051"
"Ja","2007","66 +","indirekter Migrationshintergrund","10","","",""
"Ja","2007","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2008","17-34","kein Migrationshintergrund","1004","","",""
"keinen Tag","2008","17-34","direkter Migrationshintergrund","128","","",""
"keinen Tag","2008","17-34","indirekter Migrationshintergrund","167","","",""
"keinen Tag","2008","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2008","35-65","kein Migrationshintergrund","3519","0.378338109172008","0.368368929364166","0.388307288979851"
"keinen Tag","2008","35-65","direkter Migrationshintergrund","405","0.348222540826449","0.320383777535174","0.376061304117724"
"keinen Tag","2008","35-65","indirekter Migrationshintergrund","59","0.290853838315708","0.225586350477071","0.356121326154346"
"keinen Tag","2008","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2008","66 +","kein Migrationshintergrund","158","","",""
"keinen Tag","2008","66 +","direkter Migrationshintergrund","18","","",""
"keinen Tag","2008","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2008","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","17-34","kein Migrationshintergrund","2333","","",""
"Ja","2008","17-34","direkter Migrationshintergrund","227","","",""
"Ja","2008","17-34","indirekter Migrationshintergrund","383","0.664437688686211","0.624975564020251","0.70389981335217"
"Ja","2008","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","35-65","kein Migrationshintergrund","5572","0.621661890827992","0.611692711020149","0.631631070635835"
"Ja","2008","35-65","direkter Migrationshintergrund","720","0.651777459173551","0.623938695882276","0.679616222464826"
"Ja","2008","35-65","indirekter Migrationshintergrund","127","","",""
"Ja","2008","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","66 +","kein Migrationshintergrund","3745","0.964881416234838","0.959106385722258","0.970656446747418"
"Ja","2008","66 +","direkter Migrationshintergrund","351","0.939145060517454","0.914752962041151","0.963537158993756"
"Ja","2008","66 +","indirekter Migrationshintergrund","10","","",""
"Ja","2008","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2009","17-34","kein Migrationshintergrund","921","0.298782138618323","0.282653721861333","0.314910555375314"
"keinen Tag","2009","17-34","direkter Migrationshintergrund","97","0.349194744170751","0.293945740647426","0.404443747694075"
"keinen Tag","2009","17-34","indirekter Migrationshintergrund","147","","",""
"keinen Tag","2009","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2009","35-65","kein Migrationshintergrund","3143","0.365075066643524","0.354797588039744","0.375352545247303"
"keinen Tag","2009","35-65","direkter Migrationshintergrund","369","0.373277494538605","0.343284564441634","0.403270424635576"
"keinen Tag","2009","35-65","indirekter Migrationshintergrund","63","0.308915329105232","0.242154066858411","0.375676591352052"
"keinen Tag","2009","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2009","66 +","kein Migrationshintergrund","169","","",""
"keinen Tag","2009","66 +","direkter Migrationshintergrund","10","","",""
"keinen Tag","2009","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2009","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","17-34","kein Migrationshintergrund","2173","","",""
"Ja","2009","17-34","direkter Migrationshintergrund","189","","",""
"Ja","2009","17-34","indirekter Migrationshintergrund","350","0.707025128282462","0.667011999887968","0.747038256676957"
"Ja","2009","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","35-65","kein Migrationshintergrund","5287","0.634924933356477","0.624647454752697","0.645202411960256"
"Ja","2009","35-65","direkter Migrationshintergrund","630","0.626722505461395","0.596729575364424","0.656715435558366"
"Ja","2009","35-65","indirekter Migrationshintergrund","121","","",""
"Ja","2009","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","66 +","kein Migrationshintergrund","3632","0.95935791486353","0.953080548466012","0.965635281261048"
"Ja","2009","66 +","direkter Migrationshintergrund","323","0.971185222690081","0.953217847328052","0.989152598052109"
"Ja","2009","66 +","indirekter Migrationshintergrund","5","0.887789089265066","0.635240520802534","1.1403376577276"
"Ja","2009","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2010","17-34","kein Migrationshintergrund","1380","","",""
"keinen Tag","2010","17-34","direkter Migrationshintergrund","250","","",""
"keinen Tag","2010","17-34","indirekter Migrationshintergrund","201","","",""
"keinen Tag","2010","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2010","35-65","kein Migrationshintergrund","4198","0.376264754485278","0.367290417939194","0.385239091031362"
"keinen Tag","2010","35-65","direkter Migrationshintergrund","582","0.352862303016353","0.329614077340712","0.376110528691994"
"keinen Tag","2010","35-65","indirekter Migrationshintergrund","131","","",""
"keinen Tag","2010","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2010","66 +","kein Migrationshintergrund","168","","",""
"keinen Tag","2010","66 +","direkter Migrationshintergrund","16","","",""
"keinen Tag","2010","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2010","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2010","17-34","kein Migrationshintergrund","3425","0.703461457952741","0.690547418081913","0.716375497823569"
"Ja","2010","17-34","direkter Migrationshintergrund","669","0.698028283788687","0.668345134307781","0.727711433269592"
"Ja","2010","17-34","indirekter Migrationshintergrund","545","0.696945265063579","0.663966184003559","0.729924346123598"
"Ja","2010","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2010","35-65","kein Migrationshintergrund","6996","0.623735245514722","0.614760908968638","0.632709582060806"
"Ja","2010","35-65","direkter Migrationshintergrund","1041","","",""
"Ja","2010","35-65","indirekter Migrationshintergrund","248","","",""
"Ja","2010","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2010","66 +","kein Migrationshintergrund","3524","0.965022591438248","0.959096343735","0.970948839141496"
"Ja","2010","66 +","direkter Migrationshintergrund","300","0.934429429244861","0.907137622609965","0.961721235879757"
"Ja","2010","66 +","indirekter Migrationshintergrund","6","1","1","1"
"Ja","2010","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2011","17-34","kein Migrationshintergrund","828","0.236780599601937","0.222713127670427","0.250848071533448"
"keinen Tag","2011","17-34","direkter Migrationshintergrund","209","","",""
"keinen Tag","2011","17-34","indirekter Migrationshintergrund","125","","",""
"keinen Tag","2011","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2011","35-65","kein Migrationshintergrund","3020","0.315745636839276","0.306244032810358","0.325247240868195"
"keinen Tag","2011","35-65","direkter Migrationshintergrund","502","0.305819253075476","0.282829525668278","0.328808980482673"
"keinen Tag","2011","35-65","indirekter Migrationshintergrund","111","","",""
"keinen Tag","2011","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2011","66 +","kein Migrationshintergrund","91","0.0177666209514009","0.0139370312806739","0.021596210622128"
"keinen Tag","2011","66 +","direkter Migrationshintergrund","10","","",""
"keinen Tag","2011","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2011","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","17-34","kein Migrationshintergrund","2680","","",""
"Ja","2011","17-34","direkter Migrationshintergrund","562","0.737771695199287","0.706724549452901","0.768818840945673"
"Ja","2011","17-34","indirekter Migrationshintergrund","448","0.784773780883645","0.751123351461082","0.818424210306208"
"Ja","2011","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","35-65","kein Migrationshintergrund","6173","0.684254363160724","0.674752759131805","0.693755967189642"
"Ja","2011","35-65","direkter Migrationshintergrund","1041","","",""
"Ja","2011","35-65","indirekter Migrationshintergrund","261","","",""
"Ja","2011","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","66 +","kein Migrationshintergrund","4480","0.982233379048599","0.978403789377872","0.986062968719326"
"Ja","2011","66 +","direkter Migrationshintergrund","399","0.973996102884325","0.958572555709032","0.989419650059618"
"Ja","2011","66 +","indirekter Migrationshintergrund","5","1","1","1"
"Ja","2011","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2012","17-34","kein Migrationshintergrund","1312","","",""
"keinen Tag","2012","17-34","direkter Migrationshintergrund","235","","",""
"keinen Tag","2012","17-34","indirekter Migrationshintergrund","169","","",""
"keinen Tag","2012","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2012","35-65","kein Migrationshintergrund","4733","0.354539922787377","0.346462906292885","0.362616939281868"
"keinen Tag","2012","35-65","direkter Migrationshintergrund","637","0.341607773539625","0.319967829892858","0.363247717186393"
"keinen Tag","2012","35-65","indirekter Migrationshintergrund","187","","",""
"keinen Tag","2012","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2012","66 +","kein Migrationshintergrund","221","","",""
"keinen Tag","2012","66 +","direkter Migrationshintergrund","17","","",""
"keinen Tag","2012","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2012","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2012","17-34","kein Migrationshintergrund","3470","0.719745044679582","0.707015604718578","0.732474484640587"
"Ja","2012","17-34","direkter Migrationshintergrund","523","0.661181212984445","0.627486831987103","0.694875593981787"
"Ja","2012","17-34","indirekter Migrationshintergrund","552","0.752816208364332","0.721328943740973","0.784303472987691"
"Ja","2012","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2012","35-65","kein Migrationshintergrund","8742","0.645460077212623","0.637383060718132","0.653537093707115"
"Ja","2012","35-65","direkter Migrationshintergrund","1208","","",""
"Ja","2012","35-65","indirekter Migrationshintergrund","345","0.665581780207731","0.625491605145849","0.705671955269612"
"Ja","2012","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2012","66 +","kein Migrationshintergrund","4549","0.95642374461955","0.950630271049779","0.962217218189321"
"Ja","2012","66 +","direkter Migrationshintergrund","391","0.960976174717218","0.942185635669498","0.979766713764937"
"Ja","2012","66 +","indirekter Migrationshintergrund","5","1","1","1"
"Ja","2012","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2013","17-34","kein Migrationshintergrund","1165","","",""
"keinen Tag","2013","17-34","direkter Migrationshintergrund","549","0.314154554901502","0.29327194398655","0.335037165816454"
"keinen Tag","2013","17-34","indirekter Migrationshintergrund","310","0.238777404565578","0.216201754921203","0.261353054209953"
"keinen Tag","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
