"pli0092_h","year","age_gr","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1992","17-34","Baden-Wuerttemberg","","","",""
"Taeglich","1992","17-34","Bayern","","","",""
"Taeglich","1992","17-34","Saarland","","","",""
"Taeglich","1992","17-34","Berlin","","","",""
"Taeglich","1992","17-34","Brandenburg","","","",""
"Taeglich","1992","17-34","Mecklenburg-Vorpommern","","","",""
"Taeglich","1992","17-34","Sachsen","","","",""
"Taeglich","1992","17-34","Sachsen-Anhalt","","","",""
"Taeglich","1992","17-34","Thueringen","","","",""
"Taeglich","1992","35-65","Schleswig-Holstein","","","",""
"Taeglich","1992","35-65","Hamburg","","","",""
"Taeglich","1992","35-65","Niedersachsen","","","",""
"Taeglich","1992","35-65","Bremen","","","",""
"Taeglich","1992","35-65","Nordrhein-Westfalen","","","",""
"Taeglich","1992","35-65","Hessen","","","",""
"Taeglich","1992","35-65","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1992","35-65","Baden-Wuerttemberg","","","",""
"Taeglich","1992","35-65","Bayern","","","",""
"Taeglich","1992","35-65","Saarland","","","",""
"Taeglich","1992","35-65","Berlin","","","",""
"Taeglich","1992","35-65","Brandenburg","","","",""
"Taeglich","1992","35-65","Mecklenburg-Vorpommern","","","",""
"Taeglich","1992","35-65","Sachsen","","","",""
"Taeglich","1992","35-65","Sachsen-Anhalt","","","",""
"Taeglich","1992","35-65","Thueringen","","","",""
"Taeglich","1992","66 +","Schleswig-Holstein","","","",""
"Taeglich","1992","66 +","Hamburg","","","",""
"Taeglich","1992","66 +","Niedersachsen","","","",""
"Taeglich","1992","66 +","Bremen","","","",""
"Taeglich","1992","66 +","Nordrhein-Westfalen","","","",""
"Taeglich","1992","66 +","Hessen","","","",""
"Taeglich","1992","66 +","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1992","66 +","Baden-Wuerttemberg","","","",""
"Taeglich","1992","66 +","Bayern","","","",""
"Taeglich","1992","66 +","Saarland","","","",""
"Taeglich","1992","66 +","Berlin","","","",""
"Taeglich","1992","66 +","Brandenburg","","","",""
"Taeglich","1992","66 +","Mecklenburg-Vorpommern","","","",""
"Taeglich","1992","66 +","Sachsen","","","",""
"Taeglich","1992","66 +","Sachsen-Anhalt","","","",""
"Taeglich","1992","66 +","Thueringen","","","",""
"Min 1x pro Woche","1992","17-34","Schleswig-Holstein","36","0.450544861834022","0.347752232173851","0.553337491494193"
"Min 1x pro Woche","1992","17-34","Hamburg","18","","",""
"Min 1x pro Woche","1992","17-34","Niedersachsen","140","0.398709408396675","0.349152648544816","0.448266168248534"
"Min 1x pro Woche","1992","17-34","Bremen","13","","",""
"Min 1x pro Woche","1992","17-34","Nordrhein-Westfalen","336","0.369847845239941","0.339325306304156","0.400370384175727"
"Min 1x pro Woche","1992","17-34","Hessen","121","0.366311698594918","0.315908537813292","0.416714859376544"
"Min 1x pro Woche","1992","17-34","Rheinland-Pfalz,Saarland","89","0.333439243256269","0.275347279608899","0.391531206903638"
"Min 1x pro Woche","1992","17-34","Baden-Wuerttemberg","265","0.397679566507266","0.361526744902514","0.433832388112019"
"Min 1x pro Woche","1992","17-34","Bayern","230","0.405866958120234","0.367368637638263","0.444365278602205"
"Min 1x pro Woche","1992","17-34","Saarland","","","",""
"Min 1x pro Woche","1992","17-34","Berlin","68","0.346332273026361","0.284572502902416","0.408092043150307"
"Min 1x pro Woche","1992","17-34","Brandenburg","35","0.146296993982686","0.100016798097068","0.192577189868303"
"Min 1x pro Woche","1992","17-34","Mecklenburg-Vorpommern","27","","",""
"Min 1x pro Woche","1992","17-34","Sachsen","80","0.220332356111732","0.178214086910178","0.262450625313286"
"Min 1x pro Woche","1992","17-34","Sachsen-Anhalt","46","0.174043123423624","0.128133411638945","0.219952835208303"
"Min 1x pro Woche","1992","17-34","Thueringen","50","0.17650709260769","0.130075966038614","0.222938219176767"
"Min 1x pro Woche","1992","35-65","Schleswig-Holstein","34","0.247150829046119","0.1766974432384","0.317604214853838"
"Min 1x pro Woche","1992","35-65","Hamburg","15","","",""
"Min 1x pro Woche","1992","35-65","Niedersachsen","122","0.266527188668033","0.226383442139689","0.306670935196376"
"Min 1x pro Woche","1992","35-65","Bremen","4","","",""
"Min 1x pro Woche","1992","35-65","Nordrhein-Westfalen","259","0.227897879596845","0.204800256071819","0.250995503121871"
"Min 1x pro Woche","1992","35-65","Hessen","74","0.209717341970718","0.173335561321203","0.246099122620233"
"Min 1x pro Woche","1992","35-65","Rheinland-Pfalz,Saarland","55","0.195139729352007","0.150143817913834","0.24013564079018"
"Min 1x pro Woche","1992","35-65","Baden-Wuerttemberg","144","0.204245104929783","0.177363406320774","0.231126803538791"
"Min 1x pro Woche","1992","35-65","Bayern","157","0.22611343757891","0.196943440573778","0.255283434584043"
"Min 1x pro Woche","1992","35-65","Saarland","","","",""
"Min 1x pro Woche","1992","35-65","Berlin","49","0.179176302728365","0.137026091103135","0.221326514353595"
"Min 1x pro Woche","1992","35-65","Brandenburg","38","0.12315918576706","0.0894000607367693","0.156918310797351"
"Min 1x pro Woche","1992","35-65","Mecklenburg-Vorpommern","24","","",""
"Min 1x pro Woche","1992","35-65","Sachsen","61","0.0829812706012325","0.061823463975052","0.104139077227413"
"Min 1x pro Woche","1992","35-65","Sachsen-Anhalt","38","0.0813524445131724","0.0548585256146976","0.107846363411647"
"Min 1x pro Woche","1992","35-65","Thueringen","28","","",""
"Min 1x pro Woche","1992","66 +","Schleswig-Holstein","6","","",""
"Min 1x pro Woche","1992","66 +","Hamburg","3","","",""
"Min 1x pro Woche","1992","66 +","Niedersachsen","13","","",""
"Min 1x pro Woche","1992","66 +","Bremen","3","","",""
"Min 1x pro Woche","1992","66 +","Nordrhein-Westfalen","23","","",""
"Min 1x pro Woche","1992","66 +","Hessen","16","","",""
"Min 1x pro Woche","1992","66 +","Rheinland-Pfalz,Saarland","5","","",""
"Min 1x pro Woche","1992","66 +","Baden-Wuerttemberg","17","","",""
"Min 1x pro Woche","1992","66 +","Bayern","21","","",""
"Min 1x pro Woche","1992","66 +","Saarland","","","",""
"Min 1x pro Woche","1992","66 +","Berlin","7","","",""
"Min 1x pro Woche","1992","66 +","Brandenburg","3","","",""
"Min 1x pro Woche","1992","66 +","Mecklenburg-Vorpommern","2","","",""
"Min 1x pro Woche","1992","66 +","Sachsen","6","","",""
"Min 1x pro Woche","1992","66 +","Sachsen-Anhalt","3","","",""
"Min 1x pro Woche","1992","66 +","Thueringen","2","","",""
"Min 1x pro Monat","1992","17-34","Schleswig-Holstein","5","","",""
"Min 1x pro Monat","1992","17-34","Hamburg","2","","",""
"Min 1x pro Monat","1992","17-34","Niedersachsen","35","0.0837955975279952","0.0557516435727749","0.111839551483215"
"Min 1x pro Monat","1992","17-34","Bremen","1","","",""
"Min 1x pro Monat","1992","17-34","Nordrhein-Westfalen","102","0.114278569498662","0.0941636929609734","0.13439344603635"
"Min 1x pro Monat","1992","17-34","Hessen","23","","",""
"Min 1x pro Monat","1992","17-34","Rheinland-Pfalz,Saarland","22","","",""
"Min 1x pro Monat","1992","17-34","Baden-Wuerttemberg","71","0.10654770439132","0.083756383568646","0.129339025213994"
"Min 1x pro Monat","1992","17-34","Bayern","68","0.0935726338836338","0.0707403679632238","0.116404899804044"
"Min 1x pro Monat","1992","17-34","Saarland","","","",""
"Min 1x pro Monat","1992","17-34","Berlin","17","","",""
"Min 1x pro Monat","1992","17-34","Brandenburg","13","","",""
"Min 1x pro Monat","1992","17-34","Mecklenburg-Vorpommern","12","","",""
"Min 1x pro Monat","1992","17-34","Sachsen","17","","",""
"Min 1x pro Monat","1992","17-34","Sachsen-Anhalt","19","","",""
"Min 1x pro Monat","1992","17-34","Thueringen","16","","",""
"Min 1x pro Monat","1992","35-65","Schleswig-Holstein","5","","",""
"Min 1x pro Monat","1992","35-65","Hamburg","5","","",""
"Min 1x pro Monat","1992","35-65","Niedersachsen","26","","",""
"Min 1x pro Monat","1992","35-65","Bremen","","","",""
"Min 1x pro Monat","1992","35-65","Nordrhein-Westfalen","79","0.075555537459078","0.0610031802736619","0.0901078946444941"
"Min 1x pro Monat","1992","35-65","Hessen","18","","",""
"Min 1x pro Monat","1992","35-65","Rheinland-Pfalz,Saarland","20","","",""
"Min 1x pro Monat","1992","35-65","Baden-Wuerttemberg","43","0.0562732616266304","0.0409071001153644","0.0716394231378963"
"Min 1x pro Monat","1992","35-65","Bayern","52","0.0761774831676102","0.0576787440806922","0.0946762222545282"
"Min 1x pro Monat","1992","35-65","Saarland","","","",""
"Min 1x pro Monat","1992","35-65","Berlin","16","","",""
"Min 1x pro Monat","1992","35-65","Brandenburg","6","","",""
"Min 1x pro Monat","1992","35-65","Mecklenburg-Vorpommern","1","","",""
"Min 1x pro Monat","1992","35-65","Sachsen","24","","",""
"Min 1x pro Monat","1992","35-65","Sachsen-Anhalt","14","","",""
"Min 1x pro Monat","1992","35-65","Thueringen","7","","",""
"Min 1x pro Monat","1992","66 +","Schleswig-Holstein","2","","",""
"Min 1x pro Monat","1992","66 +","Hamburg","1","","",""
"Min 1x pro Monat","1992","66 +","Niedersachsen","2","","",""
"Min 1x pro Monat","1992","66 +","Bremen","1","","",""
"Min 1x pro Monat","1992","66 +","Nordrhein-Westfalen","5","","",""
"Min 1x pro Monat","1992","66 +","Hessen","","","",""
"Min 1x pro Monat","1992","66 +","Rheinland-Pfalz,Saarland","1","","",""
"Min 1x pro Monat","1992","66 +","Baden-Wuerttemberg","2","","",""
"Min 1x pro Monat","1992","66 +","Bayern","7","","",""
"Min 1x pro Monat","1992","66 +","Saarland","","","",""
"Min 1x pro Monat","1992","66 +","Berlin","","","",""
"Min 1x pro Monat","1992","66 +","Brandenburg","","","",""
"Min 1x pro Monat","1992","66 +","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1992","66 +","Sachsen","2","","",""
"Min 1x pro Monat","1992","66 +","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1992","66 +","Thueringen","","","",""
"Seltener","1992","17-34","Schleswig-Holstein","11","","",""
"Seltener","1992","17-34","Hamburg","8","","",""
"Seltener","1992","17-34","Niedersachsen","82","0.227625493073973","0.185187301161452","0.270063684986495"
"Seltener","1992","17-34","Bremen","8","","",""
"Seltener","1992","17-34","Nordrhein-Westfalen","205","0.23300983550222","0.206281714963027","0.259737956041412"
"Seltener","1992","17-34","Hessen","65","0.186528551253841","0.145777543916213","0.227279558591469"
"Seltener","1992","17-34","Rheinland-Pfalz,Saarland","41","0.159926170842568","0.114760722304847","0.205091619380288"
"Seltener","1992","17-34","Baden-Wuerttemberg","132","0.223107253581319","0.192353428505325","0.253861078657312"
"Seltener","1992","17-34","Bayern","166","0.260476179947534","0.226067487223105","0.294884872671963"
"Seltener","1992","17-34","Saarland","","","",""
"Seltener","1992","17-34","Berlin","51","0.221493029233609","0.1675926337547","0.275393424712518"
"Seltener","1992","17-34","Brandenburg","56","0.269235276969191","0.211148289893237","0.327322264045144"
"Seltener","1992","17-34","Mecklenburg-Vorpommern","36","0.210332658738024","0.145113092539964","0.275552224936084"
"Seltener","1992","17-34","Sachsen","87","0.23558285516728","0.192459388015005","0.278706322319555"
"Seltener","1992","17-34","Sachsen-Anhalt","72","0.22689932912386","0.176184837502712","0.277613820745007"
"Seltener","1992","17-34","Thueringen","66","0.251577704390244","0.198732249296541","0.304423159483948"
"Seltener","1992","35-65","Schleswig-Holstein","25","","",""
"Seltener","1992","35-65","Hamburg","11","","",""
"Seltener","1992","35-65","Niedersachsen","60","0.131358603325809","0.100689247441595","0.162027959210024"
"Seltener","1992","35-65","Bremen","6","","",""
"Seltener","1992","35-65","Nordrhein-Westfalen","189","0.162838304871526","0.142508053694316","0.183168556048735"
"Seltener","1992","35-65","Hessen","74","0.178481731905273","0.14426164948502","0.212701814325526"
"Seltener","1992","35-65","Rheinland-Pfalz,Saarland","35","0.114854118297185","0.0786531096143255","0.151055126980044"
"Seltener","1992","35-65","Baden-Wuerttemberg","133","0.1843087817652","0.158454818499701","0.210162745030699"
"Seltener","1992","35-65","Bayern","151","0.208387434954437","0.180065256860507","0.236709613048367"
"Seltener","1992","35-65","Saarland","","","",""
"Seltener","1992","35-65","Berlin","53","0.159862982589057","0.119583531174179","0.200142434003935"
"Seltener","1992","35-65","Brandenburg","54","0.134995300269001","0.0998905443840206","0.170100056153982"
"Seltener","1992","35-65","Mecklenburg-Vorpommern","36","0.13242479133155","0.0892716780524692","0.17557790461063"
"Seltener","1992","35-65","Sachsen","111","0.148749284662417","0.121456510081018","0.176042059243817"
"Seltener","1992","35-65","Sachsen-Anhalt","62","0.135901755863403","0.102690864478053","0.169112647248754"
"Seltener","1992","35-65","Thueringen","56","0.150198933460939","0.112499866317466","0.187898000604411"
"Seltener","1992","66 +","Schleswig-Holstein","","","",""
"Seltener","1992","66 +","Hamburg","","","",""
"Seltener","1992","66 +","Niedersachsen","4","","",""
"Seltener","1992","66 +","Bremen","1","","",""
"Seltener","1992","66 +","Nordrhein-Westfalen","10","","",""
"Seltener","1992","66 +","Hessen","1","","",""
"Seltener","1992","66 +","Rheinland-Pfalz,Saarland","","","",""
"Seltener","1992","66 +","Baden-Wuerttemberg","5","","",""
"Seltener","1992","66 +","Bayern","10","","",""
"Seltener","1992","66 +","Saarland","","","",""
"Seltener","1992","66 +","Berlin","1","","",""
"Seltener","1992","66 +","Brandenburg","2","","",""
"Seltener","1992","66 +","Mecklenburg-Vorpommern","","","",""
"Seltener","1992","66 +","Sachsen","2","","",""
"Seltener","1992","66 +","Sachsen-Anhalt","2","","",""
"Seltener","1992","66 +","Thueringen","2","","",""
"Nie","1992","17-34","Schleswig-Holstein","38","0.348029422999849","0.249617251353346","0.446441594646352"
"Nie","1992","17-34","Hamburg","8","","",""
"Nie","1992","17-34","Niedersachsen","118","0.289869501001357","0.243949403527054","0.33578959847566"
"Nie","1992","17-34","Bremen","4","","",""
"Nie","1992","17-34","Nordrhein-Westfalen","318","0.282863749759177","0.254387953146919","0.311339546371436"
"Nie","1992","17-34","Hessen","142","0.361316233566163","0.311061010055012","0.411571457077315"
"Nie","1992","17-34","Rheinland-Pfalz,Saarland","101","0.388240770642701","0.328188606132093","0.448292935153309"
"Nie","1992","17-34","Baden-Wuerttemberg","236","0.272665475520095","0.239769411460255","0.305561539579935"
"Nie","1992","17-34","Bayern","161","0.240084228048598","0.206597506809191","0.273570949288006"
"Nie","1992","17-34","Saarland","","","",""
"Nie","1992","17-34","Berlin","92","0.375703004031945","0.312839494379252","0.438566513684638"
"Nie","1992","17-34","Brandenburg","120","0.532954431149757","0.467619001924537","0.598289860374978"
"Nie","1992","17-34","Mecklenburg-Vorpommern","75","0.523356135079296","0.443428286172189","0.603283983986404"
"Nie","1992","17-34","Sachsen","188","0.499514472922741","0.448704797493667","0.550324148351814"
"Nie","1992","17-34","Sachsen-Anhalt","125","0.496249669366361","0.435707882802423","0.556791455930298"
"Nie","1992","17-34","Thueringen","127","0.513867207387659","0.452997513195832","0.574736901579487"
"Nie","1992","35-65","Schleswig-Holstein","80","0.543013622391752","0.461651206709513","0.62437603807399"
"Nie","1992","35-65","Hamburg","50","0.538216747153608","0.429648387926467","0.646785106380748"
"Nie","1992","35-65","Niedersachsen","258","0.54068852009298","0.495442294436433","0.585934745749526"
"Nie","1992","35-65","Bremen","25","","",""
"Nie","1992","35-65","Nordrhein-Westfalen","740","0.533708278072551","0.506239419975815","0.561177136169288"
"Nie","1992","35-65","Hessen","315","0.570457262609236","0.526219790699659","0.614694734518814"
"Nie","1992","35-65","Rheinland-Pfalz,Saarland","188","0.616689294996084","0.561488079852748","0.671890510139421"
"Nie","1992","35-65","Baden-Wuerttemberg","544","0.555172851678387","0.522036783695504","0.588308919661271"
"Nie","1992","35-65","Bayern","430","0.489321644299043","0.45446340200563","0.524179886592455"
"Nie","1992","35-65","Saarland","","","",""
"Nie","1992","35-65","Berlin","200","0.598364872584029","0.54448414881625","0.652245596351809"
"Nie","1992","35-65","Brandenburg","266","0.731103815848351","0.685554774168624","0.776652857528079"
"Nie","1992","35-65","Mecklenburg-Vorpommern","176","0.765541686709008","0.711604143804149","0.819479229613868"
"Nie","1992","35-65","Sachsen","457","0.729711133826386","0.695648277324616","0.763773990328156"
"Nie","1992","35-65","Sachsen-Anhalt","295","0.726713368383489","0.68352396491512","0.769902771851858"
"Nie","1992","35-65","Thueringen","254","0.752791102109481","0.707270517466805","0.798311686752158"
"Nie","1992","66 +","Schleswig-Holstein","24","","",""
"Nie","1992","66 +","Hamburg","27","","",""
"Nie","1992","66 +","Niedersachsen","90","0.840039701207636","0.771223475238747","0.908855927176526"
"Nie","1992","66 +","Bremen","25","","",""
"Nie","1992","66 +","Nordrhein-Westfalen","199","0.839893737955601","0.79320735277612","0.886580123135082"
"Nie","1992","66 +","Hessen","86","0.846960765169787","0.777432319981954","0.916489210357619"
"Nie","1992","66 +","Rheinland-Pfalz,Saarland","91","0.938158638967475","0.890225056947848","0.986092220987103"
"Nie","1992","66 +","Baden-Wuerttemberg","132","0.829412616655791","0.770386452090347","0.888438781221236"
"Nie","1992","66 +","Bayern","155","0.81820423600329","0.763792550638176","0.872615921368404"
"Nie","1992","66 +","Saarland","","","",""
"Nie","1992","66 +","Berlin","33","0.824861775046027","0.708519587953444","0.941203962138611"
"Nie","1992","66 +","Brandenburg","57","0.896587355308397","0.820793259985285","0.972381450631509"
"Nie","1992","66 +","Mecklenburg-Vorpommern","26","","",""
"Nie","1992","66 +","Sachsen","113","0.921796605455372","0.874347733730266","0.969245477180478"
"Nie","1992","66 +","Sachsen-Anhalt","82","0.950633839848099","0.905113051625208","0.99615462807099"
"Nie","1992","66 +","Thueringen","69","0.95735746454387","0.91100794522817","1.00370698385957"
"Taeglich","1993","17-34","Schleswig-Holstein","","","",""
"Taeglich","1993","17-34","Hamburg","","","",""
"Taeglich","1993","17-34","Niedersachsen","","","",""
"Taeglich","1993","17-34","Bremen","","","",""
"Taeglich","1993","17-34","Nordrhein-Westfalen","","","",""
"Taeglich","1993","17-34","Hessen","","","",""
"Taeglich","1993","17-34","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1993","17-34","Baden-Wuerttemberg","","","",""
"Taeglich","1993","17-34","Bayern","","","",""
"Taeglich","1993","17-34","Saarland","","","",""
"Taeglich","1993","17-34","Berlin","","","",""
"Taeglich","1993","17-34","Brandenburg","","","",""
"Taeglich","1993","17-34","Mecklenburg-Vorpommern","","","",""
"Taeglich","1993","17-34","Sachsen","","","",""
"Taeglich","1993","17-34","Sachsen-Anhalt","","","",""
"Taeglich","1993","17-34","Thueringen","","","",""
"Taeglich","1993","35-65","Schleswig-Holstein","","","",""
"Taeglich","1993","35-65","Hamburg","","","",""
"Taeglich","1993","35-65","Niedersachsen","","","",""
"Taeglich","1993","35-65","Bremen","","","",""
"Taeglich","1993","35-65","Nordrhein-Westfalen","","","",""
"Taeglich","1993","35-65","Hessen","","","",""
"Taeglich","1993","35-65","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1993","35-65","Baden-Wuerttemberg","","","",""
"Taeglich","1993","35-65","Bayern","","","",""
"Taeglich","1993","35-65","Saarland","","","",""
"Taeglich","1993","35-65","Berlin","","","",""
"Taeglich","1993","35-65","Brandenburg","","","",""
"Taeglich","1993","35-65","Mecklenburg-Vorpommern","","","",""
"Taeglich","1993","35-65","Sachsen","","","",""
"Taeglich","1993","35-65","Sachsen-Anhalt","","","",""
"Taeglich","1993","35-65","Thueringen","","","",""
"Taeglich","1993","66 +","Schleswig-Holstein","","","",""
"Taeglich","1993","66 +","Hamburg","","","",""
"Taeglich","1993","66 +","Niedersachsen","","","",""
"Taeglich","1993","66 +","Bremen","","","",""
"Taeglich","1993","66 +","Nordrhein-Westfalen","","","",""
"Taeglich","1993","66 +","Hessen","","","",""
"Taeglich","1993","66 +","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1993","66 +","Baden-Wuerttemberg","","","",""
"Taeglich","1993","66 +","Bayern","","","",""
"Taeglich","1993","66 +","Saarland","","","",""
"Taeglich","1993","66 +","Berlin","","","",""
"Taeglich","1993","66 +","Brandenburg","","","",""
"Taeglich","1993","66 +","Mecklenburg-Vorpommern","","","",""
"Taeglich","1993","66 +","Sachsen","","","",""
"Taeglich","1993","66 +","Sachsen-Anhalt","","","",""
"Taeglich","1993","66 +","Thueringen","","","",""
"Min 1x pro Woche","1993","17-34","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1993","17-34","Hamburg","","","",""
"Min 1x pro Woche","1993","17-34","Niedersachsen","","","",""
"Min 1x pro Woche","1993","17-34","Bremen","","","",""
"Min 1x pro Woche","1993","17-34","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1993","17-34","Hessen","","","",""
"Min 1x pro Woche","1993","17-34","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1993","17-34","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1993","17-34","Bayern","","","",""
"Min 1x pro Woche","1993","17-34","Saarland","","","",""
"Min 1x pro Woche","1993","17-34","Berlin","","","",""
"Min 1x pro Woche","1993","17-34","Brandenburg","","","",""
"Min 1x pro Woche","1993","17-34","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1993","17-34","Sachsen","","","",""
"Min 1x pro Woche","1993","17-34","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1993","17-34","Thueringen","","","",""
"Min 1x pro Woche","1993","35-65","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1993","35-65","Hamburg","","","",""
"Min 1x pro Woche","1993","35-65","Niedersachsen","","","",""
"Min 1x pro Woche","1993","35-65","Bremen","","","",""
"Min 1x pro Woche","1993","35-65","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1993","35-65","Hessen","","","",""
"Min 1x pro Woche","1993","35-65","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1993","35-65","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1993","35-65","Bayern","","","",""
"Min 1x pro Woche","1993","35-65","Saarland","","","",""
"Min 1x pro Woche","1993","35-65","Berlin","","","",""
"Min 1x pro Woche","1993","35-65","Brandenburg","","","",""
"Min 1x pro Woche","1993","35-65","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1993","35-65","Sachsen","","","",""
"Min 1x pro Woche","1993","35-65","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1993","35-65","Thueringen","","","",""
"Min 1x pro Woche","1993","66 +","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1993","66 +","Hamburg","","","",""
"Min 1x pro Woche","1993","66 +","Niedersachsen","","","",""
"Min 1x pro Woche","1993","66 +","Bremen","","","",""
"Min 1x pro Woche","1993","66 +","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1993","66 +","Hessen","","","",""
"Min 1x pro Woche","1993","66 +","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1993","66 +","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1993","66 +","Bayern","","","",""
"Min 1x pro Woche","1993","66 +","Saarland","","","",""
"Min 1x pro Woche","1993","66 +","Berlin","","","",""
"Min 1x pro Woche","1993","66 +","Brandenburg","","","",""
"Min 1x pro Woche","1993","66 +","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1993","66 +","Sachsen","","","",""
"Min 1x pro Woche","1993","66 +","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1993","66 +","Thueringen","","","",""
"Min 1x pro Monat","1993","17-34","Schleswig-Holstein","","","",""
"Min 1x pro Monat","1993","17-34","Hamburg","","","",""
"Min 1x pro Monat","1993","17-34","Niedersachsen","","","",""
"Min 1x pro Monat","1993","17-34","Bremen","","","",""
"Min 1x pro Monat","1993","17-34","Nordrhein-Westfalen","","","",""
"Min 1x pro Monat","1993","17-34","Hessen","","","",""
"Min 1x pro Monat","1993","17-34","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Monat","1993","17-34","Baden-Wuerttemberg","","","",""
"Min 1x pro Monat","1993","17-34","Bayern","","","",""
"Min 1x pro Monat","1993","17-34","Saarland","","","",""
"Min 1x pro Monat","1993","17-34","Berlin","","","",""
"Min 1x pro Monat","1993","17-34","Brandenburg","","","",""
"Min 1x pro Monat","1993","17-34","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1993","17-34","Sachsen","","","",""
"Min 1x pro Monat","1993","17-34","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1993","17-34","Thueringen","","","",""
"Min 1x pro Monat","1993","35-65","Schleswig-Holstein","","","",""
"Min 1x pro Monat","1993","35-65","Hamburg","","","",""
"Min 1x pro Monat","1993","35-65","Niedersachsen","","","",""
"Min 1x pro Monat","1993","35-65","Bremen","","","",""
"Min 1x pro Monat","1993","35-65","Nordrhein-Westfalen","","","",""
"Min 1x pro Monat","1993","35-65","Hessen","","","",""
"Min 1x pro Monat","1993","35-65","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Monat","1993","35-65","Baden-Wuerttemberg","","","",""
"Min 1x pro Monat","1993","35-65","Bayern","","","",""
"Min 1x pro Monat","1993","35-65","Saarland","","","",""
"Min 1x pro Monat","1993","35-65","Berlin","","","",""
"Min 1x pro Monat","1993","35-65","Brandenburg","","","",""
"Min 1x pro Monat","1993","35-65","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1993","35-65","Sachsen","","","",""
"Min 1x pro Monat","1993","35-65","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1993","35-65","Thueringen","","","",""
"Min 1x pro Monat","1993","66 +","Schleswig-Holstein","","","",""
"Min 1x pro Monat","1993","66 +","Hamburg","","","",""
"Min 1x pro Monat","1993","66 +","Niedersachsen","","","",""
"Min 1x pro Monat","1993","66 +","Bremen","","","",""
"Min 1x pro Monat","1993","66 +","Nordrhein-Westfalen","","","",""
"Min 1x pro Monat","1993","66 +","Hessen","","","",""
"Min 1x pro Monat","1993","66 +","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Monat","1993","66 +","Baden-Wuerttemberg","","","",""
"Min 1x pro Monat","1993","66 +","Bayern","","","",""
"Min 1x pro Monat","1993","66 +","Saarland","","","",""
"Min 1x pro Monat","1993","66 +","Berlin","","","",""
"Min 1x pro Monat","1993","66 +","Brandenburg","","","",""
"Min 1x pro Monat","1993","66 +","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1993","66 +","Sachsen","","","",""
"Min 1x pro Monat","1993","66 +","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1993","66 +","Thueringen","","","",""
"Seltener","1993","17-34","Schleswig-Holstein","","","",""
"Seltener","1993","17-34","Hamburg","","","",""
"Seltener","1993","17-34","Niedersachsen","","","",""
"Seltener","1993","17-34","Bremen","","","",""
"Seltener","1993","17-34","Nordrhein-Westfalen","","","",""
"Seltener","1993","17-34","Hessen","","","",""
"Seltener","1993","17-34","Rheinland-Pfalz,Saarland","","","",""
"Seltener","1993","17-34","Baden-Wuerttemberg","","","",""
"Seltener","1993","17-34","Bayern","","","",""
"Seltener","1993","17-34","Saarland","","","",""
"Seltener","1993","17-34","Berlin","","","",""
"Seltener","1993","17-34","Brandenburg","","","",""
"Seltener","1993","17-34","Mecklenburg-Vorpommern","","","",""
"Seltener","1993","17-34","Sachsen","","","",""
"Seltener","1993","17-34","Sachsen-Anhalt","","","",""
"Seltener","1993","17-34","Thueringen","","","",""
"Seltener","1993","35-65","Schleswig-Holstein","","","",""
"Seltener","1993","35-65","Hamburg","","","",""
"Seltener","1993","35-65","Niedersachsen","","","",""
"Seltener","1993","35-65","Bremen","","","",""
"Seltener","1993","35-65","Nordrhein-Westfalen","","","",""
