"pli0092_h","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","1997","66 +","Ostdeutschland","363","0.856944847883076","0.823618068196824","0.890271627569328"
"Taeglich","1998","17-34","Westdeutschland","269","","",""
"Taeglich","1998","17-34","Ostdeutschland","75","0.0628312778304913","0.049090335372231","0.0765722202887515"
"Taeglich","1998","35-65","Westdeutschland","224","","",""
"Taeglich","1998","35-65","Ostdeutschland","56","0.0247347517284337","0.0181969220169437","0.0312725814399237"
"Taeglich","1998","66 +","Westdeutschland","35","0.0283722845235738","0.0195415809552974","0.0372029880918503"
"Taeglich","1998","66 +","Ostdeutschland","18","","",""
"Min 1x pro Woche","1998","17-34","Westdeutschland","1169","","",""
"Min 1x pro Woche","1998","17-34","Ostdeutschland","334","0.265133610340225","0.240138430424665","0.290128790255785"
"Min 1x pro Woche","1998","35-65","Westdeutschland","1238","","",""
"Min 1x pro Woche","1998","35-65","Ostdeutschland","337","0.15106135397443","0.135987188070489","0.16613551987837"
"Min 1x pro Woche","1998","66 +","Westdeutschland","145","","",""
"Min 1x pro Woche","1998","66 +","Ostdeutschland","34","0.0736815203313661","0.0499615257238906","0.0974015149388417"
"Min 1x pro Monat","1998","17-34","Westdeutschland","405","0.114809062753829","0.104442806095861","0.125175319411798"
"Min 1x pro Monat","1998","17-34","Ostdeutschland","119","","",""
"Min 1x pro Monat","1998","35-65","Westdeutschland","413","0.0842922390986948","0.076804087805374","0.0917803903920155"
"Min 1x pro Monat","1998","35-65","Ostdeutschland","118","","",""
"Min 1x pro Monat","1998","66 +","Westdeutschland","35","0.0231049681407589","0.0151144518084302","0.0310954844730875"
"Min 1x pro Monat","1998","66 +","Ostdeutschland","12","","",""
"Seltener","1998","17-34","Westdeutschland","915","0.241254841549033","0.227342463281017","0.255167219817049"
"Seltener","1998","17-34","Ostdeutschland","361","0.308102533185492","0.281957560839747","0.334247505531236"
"Seltener","1998","35-65","Westdeutschland","1120","","",""
"Seltener","1998","35-65","Ostdeutschland","630","0.280815945230186","0.261899071752118","0.299732818708255"
"Seltener","1998","66 +","Westdeutschland","119","","",""
"Seltener","1998","66 +","Ostdeutschland","46","0.100723157001766","0.0733977586062441","0.128048555397289"
"Nie","1998","17-34","Westdeutschland","875","0.206568407122357","0.193403976289892","0.219732837954822"
"Nie","1998","17-34","Ostdeutschland","309","0.271180734774422","0.246006341029729","0.296355128519116"
"Nie","1998","35-65","Westdeutschland","2293","","",""
"Nie","1998","35-65","Ostdeutschland","1027","","",""
"Nie","1998","66 +","Westdeutschland","1024","","",""
"Nie","1998","66 +","Ostdeutschland","356","0.758586189927668","0.719731928866654","0.797440450988683"
"Taeglich","1999","17-34","Westdeutschland","","","",""
"Taeglich","1999","17-34","Ostdeutschland","","","",""
"Taeglich","1999","35-65","Westdeutschland","","","",""
"Taeglich","1999","35-65","Ostdeutschland","","","",""
"Taeglich","1999","66 +","Westdeutschland","","","",""
"Taeglich","1999","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1999","17-34","Westdeutschland","1208","","",""
"Min 1x pro Woche","1999","17-34","Ostdeutschland","311","0.266113200399755","0.240758387502392","0.291468013297119"
"Min 1x pro Woche","1999","35-65","Westdeutschland","1268","","",""
"Min 1x pro Woche","1999","35-65","Ostdeutschland","312","0.145449256282609","0.130388502048183","0.160510010517035"
"Min 1x pro Woche","1999","66 +","Westdeutschland","137","","",""
"Min 1x pro Woche","1999","66 +","Ostdeutschland","34","0.0706138585540083","0.0473793913239162","0.0938483257841004"
"Min 1x pro Monat","1999","17-34","Westdeutschland","362","0.103042218088552","0.0928293689718734","0.113255067205232"
"Min 1x pro Monat","1999","17-34","Ostdeutschland","104","","",""
"Min 1x pro Monat","1999","35-65","Westdeutschland","317","0.0653473816414228","0.0585706646576126","0.072124098625233"
"Min 1x pro Monat","1999","35-65","Ostdeutschland","100","","",""
"Min 1x pro Monat","1999","66 +","Westdeutschland","30","0.0240386393168646","0.0156607073048428","0.0324165713288864"
"Min 1x pro Monat","1999","66 +","Ostdeutschland","6","0.0141345844214231","0.00342827012059483","0.0248408987222514"
"Seltener","1999","17-34","Westdeutschland","894","0.249036858153974","0.234509239187295","0.263564477120653"
"Seltener","1999","17-34","Ostdeutschland","352","0.308344913468933","0.281849186193334","0.334840640744531"
"Seltener","1999","35-65","Westdeutschland","1000","","",""
"Seltener","1999","35-65","Ostdeutschland","437","0.207466185708627","0.190143923725155","0.224788447692098"
"Seltener","1999","66 +","Westdeutschland","73","0.0618999930139182","0.0487193848701546","0.0750806011576818"
"Seltener","1999","66 +","Ostdeutschland","19","","",""
"Nie","1999","17-34","Westdeutschland","940","0.256870630414819","0.242193445903785","0.271547814925852"
"Nie","1999","17-34","Ostdeutschland","400","0.334037041058797","0.306976591075728","0.361097491041865"
"Nie","1999","35-65","Westdeutschland","2524","","",""
"Nie","1999","35-65","Ostdeutschland","1256","","",""
"Nie","1999","66 +","Westdeutschland","1044","","",""
"Nie","1999","66 +","Ostdeutschland","408","0.868461058031256","0.837806716087611","0.899115399974902"
"Taeglich","2000","17-34","Westdeutschland","","","",""
"Taeglich","2000","17-34","Ostdeutschland","","","",""
"Taeglich","2000","35-65","Westdeutschland","","","",""
"Taeglich","2000","35-65","Ostdeutschland","","","",""
"Taeglich","2000","66 +","Westdeutschland","","","",""
"Taeglich","2000","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","2000","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","2000","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","2000","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","2000","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","2000","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","2000","66 +","Ostdeutschland","","","",""
"Seltener","2000","17-34","Westdeutschland","","","",""
"Seltener","2000","17-34","Ostdeutschland","","","",""
"Seltener","2000","35-65","Westdeutschland","","","",""
"Seltener","2000","35-65","Ostdeutschland","","","",""
"Seltener","2000","66 +","Westdeutschland","","","",""
"Seltener","2000","66 +","Ostdeutschland","","","",""
"Nie","2000","17-34","Westdeutschland","","","",""
"Nie","2000","17-34","Ostdeutschland","","","",""
"Nie","2000","35-65","Westdeutschland","","","",""
"Nie","2000","35-65","Ostdeutschland","","","",""
"Nie","2000","66 +","Westdeutschland","","","",""
"Nie","2000","66 +","Ostdeutschland","","","",""
"Taeglich","2001","17-34","Westdeutschland","","","",""
"Taeglich","2001","17-34","Ostdeutschland","","","",""
"Taeglich","2001","35-65","Westdeutschland","","","",""
"Taeglich","2001","35-65","Ostdeutschland","","","",""
"Taeglich","2001","66 +","Westdeutschland","","","",""
"Taeglich","2001","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2001","17-34","Westdeutschland","1793","","",""
"Min 1x pro Woche","2001","17-34","Ostdeutschland","476","0.324209160032057","0.300716512650381","0.347701807413734"
"Min 1x pro Woche","2001","35-65","Westdeutschland","2584","","",""
"Min 1x pro Woche","2001","35-65","Ostdeutschland","578","0.19551488692895","0.181407514589759","0.209622259268142"
"Min 1x pro Woche","2001","66 +","Westdeutschland","354","0.137921616866263","0.124458755672561","0.151384478059965"
"Min 1x pro Woche","2001","66 +","Ostdeutschland","68","0.0742344389640679","0.0564213329097987","0.0920475450183372"
"Min 1x pro Monat","2001","17-34","Westdeutschland","443","0.0951271452363453","0.0867268807394612","0.103527409733229"
"Min 1x pro Monat","2001","17-34","Ostdeutschland","128","","",""
"Min 1x pro Monat","2001","35-65","Westdeutschland","578","0.0654295365036578","0.0603552825223224","0.0705037904849932"
"Min 1x pro Monat","2001","35-65","Ostdeutschland","132","","",""
"Min 1x pro Monat","2001","66 +","Westdeutschland","62","0.0237000079367962","0.0177610026860229","0.0296390131875696"
"Min 1x pro Monat","2001","66 +","Ostdeutschland","19","","",""
"Seltener","2001","17-34","Westdeutschland","1009","","",""
"Seltener","2001","17-34","Ostdeutschland","405","0.25780677059225","0.235852509607176","0.279761031577324"
"Seltener","2001","35-65","Westdeutschland","1526","","",""
"Seltener","2001","35-65","Ostdeutschland","555","0.173931846320914","0.160448592789882","0.187415099851947"
"Seltener","2001","66 +","Westdeutschland","141","","",""
"Seltener","2001","66 +","Ostdeutschland","39","0.0432997598228317","0.0294699211805721","0.0571295984650913"
"Nie","2001","17-34","Westdeutschland","1441","","",""
"Nie","2001","17-34","Ostdeutschland","516","0.335504189411139","0.311806376496925","0.359202002325354"
"Nie","2001","35-65","Westdeutschland","4435","0.472679475053727","0.462434758106185","0.482924192001269"
"Nie","2001","35-65","Ostdeutschland","1771","","",""
"Nie","2001","66 +","Westdeutschland","1963","","",""
"Nie","2001","66 +","Ostdeutschland","706","0.861898627389545","0.838455609445682","0.885341645333407"
"Taeglich","2002","17-34","Westdeutschland","","","",""
"Taeglich","2002","17-34","Ostdeutschland","","","",""
"Taeglich","2002","35-65","Westdeutschland","","","",""
"Taeglich","2002","35-65","Ostdeutschland","","","",""
"Taeglich","2002","66 +","Westdeutschland","","","",""
"Taeglich","2002","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","2002","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","2002","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","2002","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","2002","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","2002","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","2002","66 +","Ostdeutschland","","","",""
"Seltener","2002","17-34","Westdeutschland","","","",""
"Seltener","2002","17-34","Ostdeutschland","","","",""
"Seltener","2002","35-65","Westdeutschland","","","",""
"Seltener","2002","35-65","Ostdeutschland","","","",""
"Seltener","2002","66 +","Westdeutschland","","","",""
"Seltener","2002","66 +","Ostdeutschland","","","",""
"Nie","2002","17-34","Westdeutschland","","","",""
"Nie","2002","17-34","Ostdeutschland","","","",""
"Nie","2002","35-65","Westdeutschland","","","",""
"Nie","2002","35-65","Ostdeutschland","","","",""
"Nie","2002","66 +","Westdeutschland","","","",""
"Nie","2002","66 +","Ostdeutschland","","","",""
"Taeglich","2003","17-34","Westdeutschland","402","0.0863138744946633","0.0779733601749578","0.0946543888143689"
"Taeglich","2003","17-34","Ostdeutschland","119","","",""
"Taeglich","2003","35-65","Westdeutschland","659","0.0635387702825761","0.0586663543590496","0.0684111862061025"
"Taeglich","2003","35-65","Ostdeutschland","148","","",""
"Taeglich","2003","66 +","Westdeutschland","121","","",""
"Taeglich","2003","66 +","Ostdeutschland","18","","",""
"Min 1x pro Woche","2003","17-34","Westdeutschland","1573","","",""
"Min 1x pro Woche","2003","17-34","Ostdeutschland","454","0.311968825553121","0.288155198657858","0.335782452448385"
"Min 1x pro Woche","2003","35-65","Westdeutschland","3063","0.292683305237191","0.28359493564321","0.301771674831172"
"Min 1x pro Woche","2003","35-65","Ostdeutschland","697","0.228098142431028","0.212986993662308","0.243209291199749"
"Min 1x pro Woche","2003","66 +","Westdeutschland","448","0.1568880053986","0.143227657025097","0.170548353772104"
"Min 1x pro Woche","2003","66 +","Ostdeutschland","126","","",""
"Min 1x pro Monat","2003","17-34","Westdeutschland","475","0.106736684666244","0.097566024183365","0.115907345149123"
"Min 1x pro Monat","2003","17-34","Ostdeutschland","143","","",""
"Min 1x pro Monat","2003","35-65","Westdeutschland","762","0.0796430855532569","0.0742351410206733","0.0850510300858405"
"Min 1x pro Monat","2003","35-65","Ostdeutschland","227","","",""
"Min 1x pro Monat","2003","66 +","Westdeutschland","90","0.0324857316408806","0.0258268808151224","0.0391445824666389"
"Min 1x pro Monat","2003","66 +","Ostdeutschland","28","","",""
"Seltener","2003","17-34","Westdeutschland","902","0.211565442873878","0.199435487512407","0.223695398235348"
"Seltener","2003","17-34","Ostdeutschland","429","0.298856779042669","0.275327922966456","0.322385635118881"
"Seltener","2003","35-65","Westdeutschland","1913","","",""
"Seltener","2003","35-65","Ostdeutschland","716","0.235073838872576","0.219802839090695","0.250344838654458"
"Seltener","2003","66 +","Westdeutschland","236","","",""
"Seltener","2003","66 +","Ostdeutschland","71","0.0751873462210661","0.0580263021195859","0.0923483903225464"
"Nie","2003","17-34","Westdeutschland","1003","","",""
"Nie","2003","17-34","Ostdeutschland","309","0.20895860433168","0.188061042317375","0.229856166345985"
"Nie","2003","35-65","Westdeutschland","3231","0.356422308677849","0.346855590499824","0.365989026855875"
"Nie","2003","35-65","Ostdeutschland","1174","","",""
"Nie","2003","66 +","Westdeutschland","1828","","",""
"Nie","2003","66 +","Ostdeutschland","664","0.738839433471266","0.710252124086523","0.76742674285601"
"Taeglich","2004","17-34","Westdeutschland","","","",""
"Taeglich","2004","17-34","Ostdeutschland","","","",""
"Taeglich","2004","35-65","Westdeutschland","","","",""
"Taeglich","2004","35-65","Ostdeutschland","","","",""
"Taeglich","2004","66 +","Westdeutschland","","","",""
"Taeglich","2004","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","2004","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","2004","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","2004","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","2004","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","2004","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","2004","66 +","Ostdeutschland","","","",""
"Seltener","2004","17-34","Westdeutschland","","","",""
"Seltener","2004","17-34","Ostdeutschland","","","",""
"Seltener","2004","35-65","Westdeutschland","","","",""
"Seltener","2004","35-65","Ostdeutschland","","","",""
"Seltener","2004","66 +","Westdeutschland","","","",""
"Seltener","2004","66 +","Ostdeutschland","","","",""
"Nie","2004","17-34","Westdeutschland","","","",""
"Nie","2004","17-34","Ostdeutschland","","","",""
"Nie","2004","35-65","Westdeutschland","","","",""
"Nie","2004","35-65","Ostdeutschland","","","",""
"Nie","2004","66 +","Westdeutschland","","","",""
"Nie","2004","66 +","Ostdeutschland","","","",""
"Taeglich","2005","17-34","Westdeutschland","","","",""
"Taeglich","2005","17-34","Ostdeutschland","","","",""
"Taeglich","2005","35-65","Westdeutschland","","","",""
"Taeglich","2005","35-65","Ostdeutschland","","","",""
"Taeglich","2005","66 +","Westdeutschland","","","",""
"Taeglich","2005","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2005","17-34","Westdeutschland","1711","","",""
"Min 1x pro Woche","2005","17-34","Ostdeutschland","446","0.316680587535193","0.291792333355148","0.341568841715238"
"Min 1x pro Woche","2005","35-65","Westdeutschland","3202","0.329538738755221","0.319740737783731","0.339336739726711"
"Min 1x pro Woche","2005","35-65","Ostdeutschland","649","0.216793508199079","0.201290911632283","0.232296104765874"
"Min 1x pro Woche","2005","66 +","Westdeutschland","587","0.192216003865177","0.177557800102117","0.206874207628237"
"Min 1x pro Woche","2005","66 +","Ostdeutschland","156","","",""
"Min 1x pro Monat","2005","17-34","Westdeutschland","465","0.124367039071092","0.114054998543939","0.134679079598244"
"Min 1x pro Monat","2005","17-34","Ostdeutschland","137","","",""
"Min 1x pro Monat","2005","35-65","Westdeutschland","683","0.0806043652745433","0.074929861416068","0.0862788691330187"
"Min 1x pro Monat","2005","35-65","Ostdeutschland","189","","",""
"Min 1x pro Monat","2005","66 +","Westdeutschland","103","","",""
"Min 1x pro Monat","2005","66 +","Ostdeutschland","41","0.0411807182497926","0.0285582305870259","0.0538032059125594"
"Seltener","2005","17-34","Westdeutschland","856","0.226036071082464","0.212965933823278","0.23910620834165"
"Seltener","2005","17-34","Ostdeutschland","408","0.301091232673655","0.276548035739547","0.325634429607763"
"Seltener","2005","35-65","Westdeutschland","1710","","",""
"Seltener","2005","35-65","Ostdeutschland","625","0.231826435788128","0.215949951894527","0.247702919681728"
"Seltener","2005","66 +","Westdeutschland","201","","",""
"Seltener","2005","66 +","Ostdeutschland","66","0.0752751324863167","0.0585156096541701","0.0920346553184633"
"Nie","2005","17-34","Westdeutschland","902","0.230589927071694","0.217427680779993","0.243752173363396"
"Nie","2005","17-34","Ostdeutschland","351","0.279344120319095","0.255338907111781","0.30334933352641"
"Nie","2005","35-65","Westdeutschland","3246","0.393144691773344","0.382963088249811","0.403326295296877"
"Nie","2005","35-65","Ostdeutschland","1251","","",""
"Nie","2005","66 +","Westdeutschland","1885","","",""
"Nie","2005","66 +","Ostdeutschland","689","0.725584033931527","0.697238922826288","0.753929145036765"
"Taeglich","2006","17-34","Westdeutschland","","","",""
"Taeglich","2006","17-34","Ostdeutschland","","","",""
"Taeglich","2006","35-65","Westdeutschland","","","",""
"Taeglich","2006","35-65","Ostdeutschland","","","",""
"Taeglich","2006","66 +","Westdeutschland","","","",""
"Taeglich","2006","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2006","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","2006","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","2006","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","2006","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","2006","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","2006","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","2006","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","2006","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","2006","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","2006","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","2006","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","2006","66 +","Ostdeutschland","","","",""
"Seltener","2006","17-34","Westdeutschland","","","",""
"Seltener","2006","17-34","Ostdeutschland","","","",""
"Seltener","2006","35-65","Westdeutschland","","","",""
"Seltener","2006","35-65","Ostdeutschland","","","",""
"Seltener","2006","66 +","Westdeutschland","","","",""
"Seltener","2006","66 +","Ostdeutschland","","","",""
"Nie","2006","17-34","Westdeutschland","","","",""
"Nie","2006","17-34","Ostdeutschland","","","",""
"Nie","2006","35-65","Westdeutschland","","","",""
"Nie","2006","35-65","Ostdeutschland","","","",""
"Nie","2006","66 +","Westdeutschland","","","",""
"Nie","2006","66 +","Ostdeutschland","","","",""
"Taeglich","2007","17-34","Westdeutschland","","","",""
"Taeglich","2007","17-34","Ostdeutschland","","","",""
"Taeglich","2007","35-65","Westdeutschland","","","",""
"Taeglich","2007","35-65","Ostdeutschland","","","",""
"Taeglich","2007","66 +","Westdeutschland","","","",""
"Taeglich","2007","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2007","17-34","Westdeutschland","1554","","",""
"Min 1x pro Woche","2007","17-34","Ostdeutschland","397","0.314579204717253","0.288565570726531","0.340592838707974"
"Min 1x pro Woche","2007","35-65","Westdeutschland","3432","0.367587403497328","0.357493074095195","0.377681732899461"
"Min 1x pro Woche","2007","35-65","Ostdeutschland","692","0.239674763146028","0.223421670518649","0.255927855773407"
"Min 1x pro Woche","2007","66 +","Westdeutschland","805","0.234243903288599","0.219528323321453","0.248959483255745"
"Min 1x pro Woche","2007","66 +","Ostdeutschland","236","","",""
"Min 1x pro Monat","2007","17-34","Westdeutschland","405","0.120175924281186","0.109342794454898","0.131009054107474"
"Min 1x pro Monat","2007","17-34","Ostdeutschland","134","","",""
"Min 1x pro Monat","2007","35-65","Westdeutschland","641","0.0681412835412892","0.0628656199136979","0.0734169471688806"
"Min 1x pro Monat","2007","35-65","Ostdeutschland","180","","",""
"Min 1x pro Monat","2007","66 +","Westdeutschland","109","","",""
"Min 1x pro Monat","2007","66 +","Ostdeutschland","29","","",""
"Seltener","2007","17-34","Westdeutschland","698","0.210009682242252","0.196439745143791","0.223579619340713"
"Seltener","2007","17-34","Ostdeutschland","340","0.27413068880734","0.249140736431648","0.299120641183031"
"Seltener","2007","35-65","Westdeutschland","1642","","",""
"Seltener","2007","35-65","Ostdeutschland","597","0.225470590135185","0.209559898404291","0.241381281866079"
"Seltener","2007","66 +","Westdeutschland","252","","",""
"Seltener","2007","66 +","Ostdeutschland","100","","",""
"Nie","2007","17-34","Westdeutschland","804","0.238580443225773","0.224380823117926","0.25278006333362"
"Nie","2007","17-34","Ostdeutschland","353","0.308738365343162","0.282857791040204","0.33461893964612"
"Nie","2007","35-65","Westdeutschland","3049","0.368284746174656","0.35818641860684","0.378383073742471"
"Nie","2007","35-65","Ostdeutschland","1181","","",""
"Nie","2007","66 +","Westdeutschland","2016","","",""
"Nie","2007","66 +","Ostdeutschland","744","0.685853819500371","0.658534870297478","0.713172768703263"
"Taeglich","2008","17-34","Westdeutschland","331","0.0975996852912809","0.0872946606883093","0.107904709894252"
"Taeglich","2008","17-34","Ostdeutschland","99","0.0908916190035552","0.0741462536298359","0.107636984377275"
"Taeglich","2008","35-65","Westdeutschland","622","0.0720043906546607","0.0663830188004949","0.0776257625088266"
"Taeglich","2008","35-65","Ostdeutschland","137","","",""
"Taeglich","2008","66 +","Westdeutschland","286","","",""
"Taeglich","2008","66 +","Ostdeutschland","61","0.0505587742145809","0.0376813794910206","0.0634361689381413"
"Min 1x pro Woche","2008","17-34","Westdeutschland","1259","","",""
"Min 1x pro Woche","2008","17-34","Ostdeutschland","359","0.321108899494309","0.293910014138429","0.34830778485019"
"Min 1x pro Woche","2008","35-65","Westdeutschland","2938","","",""
"Min 1x pro Woche","2008","35-65","Ostdeutschland","716","0.269303396616003","0.251925103183786","0.286681690048219"
"Min 1x pro Woche","2008","66 +","Westdeutschland","727","0.213661281281097","0.19935637585171","0.227966186710484"
"Min 1x pro Woche","2008","66 +","Ostdeutschland","232","","",""
"Min 1x pro Monat","2008","17-34","Westdeutschland","364","0.113337553421684","0.10232998789476","0.124345118948607"
"Min 1x pro Monat","2008","17-34","Ostdeutschland","125","","",""
"Min 1x pro Monat","2008","35-65","Westdeutschland","676","0.0823411553461459","0.0763633885278745","0.0883189221644174"
"Min 1x pro Monat","2008","35-65","Ostdeutschland","172","","",""
"Min 1x pro Monat","2008","66 +","Westdeutschland","107","","",""
"Min 1x pro Monat","2008","66 +","Ostdeutschland","35","0.0257639836470069","0.0164521695884524","0.0350757977055614"
"Seltener","2008","17-34","Westdeutschland","642","0.209159019463271","0.195036633165312","0.22328140576123"
"Seltener","2008","17-34","Ostdeutschland","267","","",""
"Seltener","2008","35-65","Westdeutschland","1623","","",""
"Seltener","2008","35-65","Ostdeutschland","654","0.259017215229713","0.24185449827534","0.276179932184087"
"Seltener","2008","66 +","Westdeutschland","324","0.102138592350727","0.0915700076324888","0.112707177068965"
"Seltener","2008","66 +","Ostdeutschland","135","","",""
"Nie","2008","17-34","Westdeutschland","590","0.19121600087671","0.177560626976533","0.204871374776886"
"Nie","2008","17-34","Ostdeutschland","282","","",""
"Nie","2008","35-65","Westdeutschland","2264","","",""
"Nie","2008","35-65","Ostdeutschland","824","0.352036170898581","0.33332561494387","0.370746726853291"
"Nie","2008","66 +","Westdeutschland","1710","","",""
"Nie","2008","66 +","Ostdeutschland","649","0.588946631621611","0.560027664719319","0.617865598523903"
"Taeglich","2009","17-34","Westdeutschland","","","",""
"Taeglich","2009","17-34","Ostdeutschland","","","",""
"Taeglich","2009","35-65","Westdeutschland","","","",""
"Taeglich","2009","35-65","Ostdeutschland","","","",""
"Taeglich","2009","66 +","Westdeutschland","","","",""
"Taeglich","2009","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2009","17-34","Westdeutschland","1374","","",""
"Min 1x pro Woche","2009","17-34","Ostdeutschland","363","0.371063012691922","0.341546312450615","0.400579712933228"
"Min 1x pro Woche","2009","35-65","Westdeutschland","3028","0.38355273231563","0.37252227060521","0.394583194026051"
"Min 1x pro Woche","2009","35-65","Ostdeutschland","649","0.251700196855227","0.234249833837719","0.269150559872735"
"Min 1x pro Woche","2009","66 +","Westdeutschland","856","0.257325855404843","0.241737022809466","0.27291468800022"
"Min 1x pro Woche","2009","66 +","Ostdeutschland","245","","",""
"Min 1x pro Monat","2009","17-34","Westdeutschland","352","0.124520461033259","0.112546835471726","0.136494086594792"
"Min 1x pro Monat","2009","17-34","Ostdeutschland","130","","",""
"Min 1x pro Monat","2009","35-65","Westdeutschland","541","0.0750510878085929","0.0690742626202261","0.0810279129969598"
"Min 1x pro Monat","2009","35-65","Ostdeutschland","174","","",""
"Min 1x pro Monat","2009","66 +","Westdeutschland","96","0.0339890376294668","0.0275275399922857","0.040450535266648"
"Min 1x pro Monat","2009","66 +","Ostdeutschland","37","0.0298444521516827","0.0198207818855918","0.0398681224177737"
"Seltener","2009","17-34","Westdeutschland","630","0.224357643512272","0.209229574187005","0.23948571283754"
"Seltener","2009","17-34","Ostdeutschland","260","","",""
"Seltener","2009","35-65","Westdeutschland","1441","","",""
"Seltener","2009","35-65","Ostdeutschland","546","0.22774358194983","0.210880819986854","0.244606343912806"
"Seltener","2009","66 +","Westdeutschland","239","","",""
"Seltener","2009","66 +","Ostdeutschland","93","0.0784195357954206","0.0625832604534159","0.0942558111374253"
"Nie","2009","17-34","Westdeutschland","565","0.181008217342284","0.167045458720644","0.194970975963924"
"Nie","2009","17-34","Ostdeutschland","276","","",""
"Nie","2009","35-65","Westdeutschland","2455","","",""
"Nie","2009","35-65","Ostdeutschland","1007","","",""
"Nie","2009","66 +","Westdeutschland","1830","","",""
"Nie","2009","66 +","Ostdeutschland","732","0.676998957123941","0.649452215046899","0.704545699200983"
"Taeglich","2010","17-34","Westdeutschland","","","",""
"Taeglich","2010","17-34","Ostdeutschland","","","",""
"Taeglich","2010","35-65","Westdeutschland","","","",""
"Taeglich","2010","35-65","Ostdeutschland","","","",""
"Taeglich","2010","66 +","Westdeutschland","","","",""
"Taeglich","2010","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","2010","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","2010","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","2010","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","2010","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","2010","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","2010","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","2010","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","2010","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","2010","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","2010","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","2010","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","2010","66 +","Ostdeutschland","","","",""
"Seltener","2010","17-34","Westdeutschland","","","",""
"Seltener","2010","17-34","Ostdeutschland","","","",""
"Seltener","2010","35-65","Westdeutschland","","","",""
"Seltener","2010","35-65","Ostdeutschland","","","",""
"Seltener","2010","66 +","Westdeutschland","","","",""
