"plj0589","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","2014","Hauptschule","Niedersachsen","","","",""
"Nie","2014","Hauptschule","Bremen","","","",""
"Nie","2014","Hauptschule","Nordrhein-Westfalen","","","",""
"Nie","2014","Hauptschule","Hessen","","","",""
"Nie","2014","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Nie","2014","Hauptschule","Baden-Wuerttemberg","","","",""
"Nie","2014","Hauptschule","Bayern","","","",""
"Nie","2014","Hauptschule","Saarland","","","",""
"Nie","2014","Hauptschule","Berlin","","","",""
"Nie","2014","Hauptschule","Brandenburg","","","",""
"Nie","2014","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Nie","2014","Hauptschule","Sachsen","","","",""
"Nie","2014","Hauptschule","Sachsen-Anhalt","","","",""
"Nie","2014","Hauptschule","Thueringen","","","",""
"Nie","2014","Realschule","Schleswig-Holstein","","","",""
"Nie","2014","Realschule","Hamburg","","","",""
"Nie","2014","Realschule","Niedersachsen","","","",""
"Nie","2014","Realschule","Bremen","","","",""
"Nie","2014","Realschule","Nordrhein-Westfalen","","","",""
"Nie","2014","Realschule","Hessen","","","",""
"Nie","2014","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Nie","2014","Realschule","Baden-Wuerttemberg","","","",""
"Nie","2014","Realschule","Bayern","","","",""
"Nie","2014","Realschule","Saarland","","","",""
"Nie","2014","Realschule","Berlin","","","",""
"Nie","2014","Realschule","Brandenburg","","","",""
"Nie","2014","Realschule","Mecklenburg-Vorpommern","","","",""
"Nie","2014","Realschule","Sachsen","","","",""
"Nie","2014","Realschule","Sachsen-Anhalt","","","",""
"Nie","2014","Realschule","Thueringen","","","",""
"Nie","2014","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Nie","2014","(Fach-)Abitur","Hamburg","","","",""
"Nie","2014","(Fach-)Abitur","Niedersachsen","","","",""
"Nie","2014","(Fach-)Abitur","Bremen","","","",""
"Nie","2014","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Nie","2014","(Fach-)Abitur","Hessen","","","",""
"Nie","2014","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Nie","2014","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Nie","2014","(Fach-)Abitur","Bayern","","","",""
"Nie","2014","(Fach-)Abitur","Saarland","","","",""
"Nie","2014","(Fach-)Abitur","Berlin","","","",""
"Nie","2014","(Fach-)Abitur","Brandenburg","","","",""
"Nie","2014","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Nie","2014","(Fach-)Abitur","Sachsen","","","",""
"Nie","2014","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Nie","2014","(Fach-)Abitur","Thueringen","","","",""
"Nie","2014","AkademikerIn","Schleswig-Holstein","","","",""
"Nie","2014","AkademikerIn","Hamburg","","","",""
"Nie","2014","AkademikerIn","Niedersachsen","","","",""
"Nie","2014","AkademikerIn","Bremen","","","",""
"Nie","2014","AkademikerIn","Nordrhein-Westfalen","","","",""
"Nie","2014","AkademikerIn","Hessen","","","",""
"Nie","2014","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Nie","2014","AkademikerIn","Baden-Wuerttemberg","","","",""
"Nie","2014","AkademikerIn","Bayern","","","",""
"Nie","2014","AkademikerIn","Saarland","","","",""
"Nie","2014","AkademikerIn","Berlin","","","",""
"Nie","2014","AkademikerIn","Brandenburg","","","",""
"Nie","2014","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Nie","2014","AkademikerIn","Sachsen","","","",""
"Nie","2014","AkademikerIn","Sachsen-Anhalt","","","",""
"Nie","2014","AkademikerIn","Thueringen","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Hamburg","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Niedersachsen","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Bremen","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Hessen","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Bayern","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Saarland","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Berlin","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Brandenburg","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Sachsen","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Thueringen","","","",""
"Sehr oft","2015","Hauptschule","Schleswig-Holstein","","","",""
"Sehr oft","2015","Hauptschule","Hamburg","","","",""
"Sehr oft","2015","Hauptschule","Niedersachsen","","","",""
"Sehr oft","2015","Hauptschule","Bremen","","","",""
"Sehr oft","2015","Hauptschule","Nordrhein-Westfalen","","","",""
"Sehr oft","2015","Hauptschule","Hessen","","","",""
"Sehr oft","2015","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2015","Hauptschule","Baden-Wuerttemberg","","","",""
"Sehr oft","2015","Hauptschule","Bayern","","","",""
"Sehr oft","2015","Hauptschule","Saarland","","","",""
"Sehr oft","2015","Hauptschule","Berlin","","","",""
"Sehr oft","2015","Hauptschule","Brandenburg","","","",""
"Sehr oft","2015","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2015","Hauptschule","Sachsen","","","",""
"Sehr oft","2015","Hauptschule","Sachsen-Anhalt","","","",""
"Sehr oft","2015","Hauptschule","Thueringen","","","",""
"Sehr oft","2015","Realschule","Schleswig-Holstein","","","",""
"Sehr oft","2015","Realschule","Hamburg","","","",""
"Sehr oft","2015","Realschule","Niedersachsen","","","",""
"Sehr oft","2015","Realschule","Bremen","","","",""
"Sehr oft","2015","Realschule","Nordrhein-Westfalen","","","",""
"Sehr oft","2015","Realschule","Hessen","","","",""
"Sehr oft","2015","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2015","Realschule","Baden-Wuerttemberg","","","",""
"Sehr oft","2015","Realschule","Bayern","","","",""
"Sehr oft","2015","Realschule","Saarland","","","",""
"Sehr oft","2015","Realschule","Berlin","","","",""
"Sehr oft","2015","Realschule","Brandenburg","","","",""
"Sehr oft","2015","Realschule","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2015","Realschule","Sachsen","","","",""
"Sehr oft","2015","Realschule","Sachsen-Anhalt","","","",""
"Sehr oft","2015","Realschule","Thueringen","","","",""
"Sehr oft","2015","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Sehr oft","2015","(Fach-)Abitur","Hamburg","","","",""
"Sehr oft","2015","(Fach-)Abitur","Niedersachsen","","","",""
"Sehr oft","2015","(Fach-)Abitur","Bremen","","","",""
"Sehr oft","2015","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Sehr oft","2015","(Fach-)Abitur","Hessen","","","",""
"Sehr oft","2015","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2015","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Sehr oft","2015","(Fach-)Abitur","Bayern","","","",""
"Sehr oft","2015","(Fach-)Abitur","Saarland","","","",""
"Sehr oft","2015","(Fach-)Abitur","Berlin","","","",""
"Sehr oft","2015","(Fach-)Abitur","Brandenburg","","","",""
"Sehr oft","2015","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2015","(Fach-)Abitur","Sachsen","","","",""
"Sehr oft","2015","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Sehr oft","2015","(Fach-)Abitur","Thueringen","","","",""
"Sehr oft","2015","AkademikerIn","Schleswig-Holstein","","","",""
"Sehr oft","2015","AkademikerIn","Hamburg","","","",""
"Sehr oft","2015","AkademikerIn","Niedersachsen","","","",""
"Sehr oft","2015","AkademikerIn","Bremen","","","",""
"Sehr oft","2015","AkademikerIn","Nordrhein-Westfalen","","","",""
"Sehr oft","2015","AkademikerIn","Hessen","","","",""
"Sehr oft","2015","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2015","AkademikerIn","Baden-Wuerttemberg","","","",""
"Sehr oft","2015","AkademikerIn","Bayern","","","",""
"Sehr oft","2015","AkademikerIn","Saarland","","","",""
"Sehr oft","2015","AkademikerIn","Berlin","","","",""
"Sehr oft","2015","AkademikerIn","Brandenburg","","","",""
"Sehr oft","2015","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2015","AkademikerIn","Sachsen","","","",""
"Sehr oft","2015","AkademikerIn","Sachsen-Anhalt","","","",""
"Sehr oft","2015","AkademikerIn","Thueringen","","","",""
"Oft","2015","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Oft","2015","(noch) kein Abschluss","Hamburg","","","",""
"Oft","2015","(noch) kein Abschluss","Niedersachsen","","","",""
"Oft","2015","(noch) kein Abschluss","Bremen","","","",""
"Oft","2015","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Oft","2015","(noch) kein Abschluss","Hessen","","","",""
"Oft","2015","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Oft","2015","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Oft","2015","(noch) kein Abschluss","Bayern","","","",""
"Oft","2015","(noch) kein Abschluss","Saarland","","","",""
"Oft","2015","(noch) kein Abschluss","Berlin","","","",""
"Oft","2015","(noch) kein Abschluss","Brandenburg","","","",""
"Oft","2015","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Oft","2015","(noch) kein Abschluss","Sachsen","","","",""
"Oft","2015","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Oft","2015","(noch) kein Abschluss","Thueringen","","","",""
"Oft","2015","Hauptschule","Schleswig-Holstein","","","",""
"Oft","2015","Hauptschule","Hamburg","","","",""
"Oft","2015","Hauptschule","Niedersachsen","","","",""
"Oft","2015","Hauptschule","Bremen","","","",""
"Oft","2015","Hauptschule","Nordrhein-Westfalen","","","",""
"Oft","2015","Hauptschule","Hessen","","","",""
"Oft","2015","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Oft","2015","Hauptschule","Baden-Wuerttemberg","","","",""
"Oft","2015","Hauptschule","Bayern","","","",""
"Oft","2015","Hauptschule","Saarland","","","",""
"Oft","2015","Hauptschule","Berlin","","","",""
"Oft","2015","Hauptschule","Brandenburg","","","",""
"Oft","2015","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Oft","2015","Hauptschule","Sachsen","","","",""
"Oft","2015","Hauptschule","Sachsen-Anhalt","","","",""
"Oft","2015","Hauptschule","Thueringen","","","",""
"Oft","2015","Realschule","Schleswig-Holstein","","","",""
"Oft","2015","Realschule","Hamburg","","","",""
"Oft","2015","Realschule","Niedersachsen","","","",""
"Oft","2015","Realschule","Bremen","","","",""
"Oft","2015","Realschule","Nordrhein-Westfalen","","","",""
"Oft","2015","Realschule","Hessen","","","",""
"Oft","2015","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Oft","2015","Realschule","Baden-Wuerttemberg","","","",""
"Oft","2015","Realschule","Bayern","","","",""
"Oft","2015","Realschule","Saarland","","","",""
"Oft","2015","Realschule","Berlin","","","",""
"Oft","2015","Realschule","Brandenburg","","","",""
"Oft","2015","Realschule","Mecklenburg-Vorpommern","","","",""
"Oft","2015","Realschule","Sachsen","","","",""
"Oft","2015","Realschule","Sachsen-Anhalt","","","",""
"Oft","2015","Realschule","Thueringen","","","",""
"Oft","2015","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Oft","2015","(Fach-)Abitur","Hamburg","","","",""
"Oft","2015","(Fach-)Abitur","Niedersachsen","","","",""
"Oft","2015","(Fach-)Abitur","Bremen","","","",""
"Oft","2015","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Oft","2015","(Fach-)Abitur","Hessen","","","",""
"Oft","2015","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Oft","2015","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Oft","2015","(Fach-)Abitur","Bayern","","","",""
"Oft","2015","(Fach-)Abitur","Saarland","","","",""
"Oft","2015","(Fach-)Abitur","Berlin","","","",""
"Oft","2015","(Fach-)Abitur","Brandenburg","","","",""
"Oft","2015","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Oft","2015","(Fach-)Abitur","Sachsen","","","",""
"Oft","2015","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Oft","2015","(Fach-)Abitur","Thueringen","","","",""
"Oft","2015","AkademikerIn","Schleswig-Holstein","","","",""
"Oft","2015","AkademikerIn","Hamburg","","","",""
"Oft","2015","AkademikerIn","Niedersachsen","","","",""
"Oft","2015","AkademikerIn","Bremen","","","",""
"Oft","2015","AkademikerIn","Nordrhein-Westfalen","","","",""
"Oft","2015","AkademikerIn","Hessen","","","",""
"Oft","2015","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Oft","2015","AkademikerIn","Baden-Wuerttemberg","","","",""
"Oft","2015","AkademikerIn","Bayern","","","",""
"Oft","2015","AkademikerIn","Saarland","","","",""
"Oft","2015","AkademikerIn","Berlin","","","",""
"Oft","2015","AkademikerIn","Brandenburg","","","",""
"Oft","2015","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Oft","2015","AkademikerIn","Sachsen","","","",""
"Oft","2015","AkademikerIn","Sachsen-Anhalt","","","",""
"Oft","2015","AkademikerIn","Thueringen","","","",""
"Manchmal","2015","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Manchmal","2015","(noch) kein Abschluss","Hamburg","","","",""
"Manchmal","2015","(noch) kein Abschluss","Niedersachsen","","","",""
"Manchmal","2015","(noch) kein Abschluss","Bremen","","","",""
"Manchmal","2015","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Manchmal","2015","(noch) kein Abschluss","Hessen","","","",""
"Manchmal","2015","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Manchmal","2015","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Manchmal","2015","(noch) kein Abschluss","Bayern","","","",""
"Manchmal","2015","(noch) kein Abschluss","Saarland","","","",""
"Manchmal","2015","(noch) kein Abschluss","Berlin","","","",""
"Manchmal","2015","(noch) kein Abschluss","Brandenburg","","","",""
"Manchmal","2015","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Manchmal","2015","(noch) kein Abschluss","Sachsen","","","",""
"Manchmal","2015","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Manchmal","2015","(noch) kein Abschluss","Thueringen","","","",""
"Manchmal","2015","Hauptschule","Schleswig-Holstein","","","",""
"Manchmal","2015","Hauptschule","Hamburg","","","",""
"Manchmal","2015","Hauptschule","Niedersachsen","","","",""
"Manchmal","2015","Hauptschule","Bremen","","","",""
"Manchmal","2015","Hauptschule","Nordrhein-Westfalen","","","",""
"Manchmal","2015","Hauptschule","Hessen","","","",""
"Manchmal","2015","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Manchmal","2015","Hauptschule","Baden-Wuerttemberg","","","",""
"Manchmal","2015","Hauptschule","Bayern","","","",""
"Manchmal","2015","Hauptschule","Saarland","","","",""
"Manchmal","2015","Hauptschule","Berlin","","","",""
"Manchmal","2015","Hauptschule","Brandenburg","","","",""
"Manchmal","2015","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Manchmal","2015","Hauptschule","Sachsen","","","",""
"Manchmal","2015","Hauptschule","Sachsen-Anhalt","","","",""
"Manchmal","2015","Hauptschule","Thueringen","","","",""
"Manchmal","2015","Realschule","Schleswig-Holstein","","","",""
"Manchmal","2015","Realschule","Hamburg","","","",""
"Manchmal","2015","Realschule","Niedersachsen","","","",""
"Manchmal","2015","Realschule","Bremen","","","",""
"Manchmal","2015","Realschule","Nordrhein-Westfalen","","","",""
"Manchmal","2015","Realschule","Hessen","","","",""
"Manchmal","2015","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Manchmal","2015","Realschule","Baden-Wuerttemberg","","","",""
"Manchmal","2015","Realschule","Bayern","","","",""
"Manchmal","2015","Realschule","Saarland","","","",""
"Manchmal","2015","Realschule","Berlin","","","",""
"Manchmal","2015","Realschule","Brandenburg","","","",""
"Manchmal","2015","Realschule","Mecklenburg-Vorpommern","","","",""
"Manchmal","2015","Realschule","Sachsen","","","",""
"Manchmal","2015","Realschule","Sachsen-Anhalt","","","",""
"Manchmal","2015","Realschule","Thueringen","","","",""
"Manchmal","2015","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Manchmal","2015","(Fach-)Abitur","Hamburg","","","",""
"Manchmal","2015","(Fach-)Abitur","Niedersachsen","","","",""
"Manchmal","2015","(Fach-)Abitur","Bremen","","","",""
"Manchmal","2015","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Manchmal","2015","(Fach-)Abitur","Hessen","","","",""
"Manchmal","2015","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Manchmal","2015","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Manchmal","2015","(Fach-)Abitur","Bayern","","","",""
"Manchmal","2015","(Fach-)Abitur","Saarland","","","",""
"Manchmal","2015","(Fach-)Abitur","Berlin","","","",""
"Manchmal","2015","(Fach-)Abitur","Brandenburg","","","",""
"Manchmal","2015","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Manchmal","2015","(Fach-)Abitur","Sachsen","","","",""
"Manchmal","2015","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Manchmal","2015","(Fach-)Abitur","Thueringen","","","",""
"Manchmal","2015","AkademikerIn","Schleswig-Holstein","","","",""
"Manchmal","2015","AkademikerIn","Hamburg","","","",""
"Manchmal","2015","AkademikerIn","Niedersachsen","","","",""
"Manchmal","2015","AkademikerIn","Bremen","","","",""
"Manchmal","2015","AkademikerIn","Nordrhein-Westfalen","","","",""
"Manchmal","2015","AkademikerIn","Hessen","","","",""
"Manchmal","2015","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Manchmal","2015","AkademikerIn","Baden-Wuerttemberg","","","",""
"Manchmal","2015","AkademikerIn","Bayern","","","",""
"Manchmal","2015","AkademikerIn","Saarland","","","",""
"Manchmal","2015","AkademikerIn","Berlin","","","",""
"Manchmal","2015","AkademikerIn","Brandenburg","","","",""
"Manchmal","2015","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Manchmal","2015","AkademikerIn","Sachsen","","","",""
"Manchmal","2015","AkademikerIn","Sachsen-Anhalt","","","",""
"Manchmal","2015","AkademikerIn","Thueringen","","","",""
"Selten","2015","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Selten","2015","(noch) kein Abschluss","Hamburg","","","",""
"Selten","2015","(noch) kein Abschluss","Niedersachsen","","","",""
"Selten","2015","(noch) kein Abschluss","Bremen","","","",""
"Selten","2015","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Selten","2015","(noch) kein Abschluss","Hessen","","","",""
"Selten","2015","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Selten","2015","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Selten","2015","(noch) kein Abschluss","Bayern","","","",""
"Selten","2015","(noch) kein Abschluss","Saarland","","","",""
"Selten","2015","(noch) kein Abschluss","Berlin","","","",""
"Selten","2015","(noch) kein Abschluss","Brandenburg","","","",""
"Selten","2015","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Selten","2015","(noch) kein Abschluss","Sachsen","","","",""
"Selten","2015","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Selten","2015","(noch) kein Abschluss","Thueringen","","","",""
"Selten","2015","Hauptschule","Schleswig-Holstein","","","",""
"Selten","2015","Hauptschule","Hamburg","","","",""
"Selten","2015","Hauptschule","Niedersachsen","","","",""
"Selten","2015","Hauptschule","Bremen","","","",""
"Selten","2015","Hauptschule","Nordrhein-Westfalen","","","",""
"Selten","2015","Hauptschule","Hessen","","","",""
"Selten","2015","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Selten","2015","Hauptschule","Baden-Wuerttemberg","","","",""
"Selten","2015","Hauptschule","Bayern","","","",""
"Selten","2015","Hauptschule","Saarland","","","",""
"Selten","2015","Hauptschule","Berlin","","","",""
"Selten","2015","Hauptschule","Brandenburg","","","",""
"Selten","2015","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Selten","2015","Hauptschule","Sachsen","","","",""
"Selten","2015","Hauptschule","Sachsen-Anhalt","","","",""
"Selten","2015","Hauptschule","Thueringen","","","",""
"Selten","2015","Realschule","Schleswig-Holstein","","","",""
"Selten","2015","Realschule","Hamburg","","","",""
"Selten","2015","Realschule","Niedersachsen","","","",""
"Selten","2015","Realschule","Bremen","","","",""
"Selten","2015","Realschule","Nordrhein-Westfalen","","","",""
"Selten","2015","Realschule","Hessen","","","",""
"Selten","2015","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Selten","2015","Realschule","Baden-Wuerttemberg","","","",""
"Selten","2015","Realschule","Bayern","","","",""
"Selten","2015","Realschule","Saarland","","","",""
"Selten","2015","Realschule","Berlin","","","",""
"Selten","2015","Realschule","Brandenburg","","","",""
"Selten","2015","Realschule","Mecklenburg-Vorpommern","","","",""
"Selten","2015","Realschule","Sachsen","","","",""
"Selten","2015","Realschule","Sachsen-Anhalt","","","",""
"Selten","2015","Realschule","Thueringen","","","",""
"Selten","2015","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Selten","2015","(Fach-)Abitur","Hamburg","","","",""
"Selten","2015","(Fach-)Abitur","Niedersachsen","","","",""
"Selten","2015","(Fach-)Abitur","Bremen","","","",""
"Selten","2015","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Selten","2015","(Fach-)Abitur","Hessen","","","",""
"Selten","2015","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Selten","2015","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Selten","2015","(Fach-)Abitur","Bayern","","","",""
"Selten","2015","(Fach-)Abitur","Saarland","","","",""
"Selten","2015","(Fach-)Abitur","Berlin","","","",""
"Selten","2015","(Fach-)Abitur","Brandenburg","","","",""
"Selten","2015","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Selten","2015","(Fach-)Abitur","Sachsen","","","",""
"Selten","2015","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Selten","2015","(Fach-)Abitur","Thueringen","","","",""
"Selten","2015","AkademikerIn","Schleswig-Holstein","","","",""
"Selten","2015","AkademikerIn","Hamburg","","","",""
"Selten","2015","AkademikerIn","Niedersachsen","","","",""
"Selten","2015","AkademikerIn","Bremen","","","",""
"Selten","2015","AkademikerIn","Nordrhein-Westfalen","","","",""
"Selten","2015","AkademikerIn","Hessen","","","",""
"Selten","2015","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Selten","2015","AkademikerIn","Baden-Wuerttemberg","","","",""
"Selten","2015","AkademikerIn","Bayern","","","",""
"Selten","2015","AkademikerIn","Saarland","","","",""
"Selten","2015","AkademikerIn","Berlin","","","",""
"Selten","2015","AkademikerIn","Brandenburg","","","",""
"Selten","2015","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Selten","2015","AkademikerIn","Sachsen","","","",""
"Selten","2015","AkademikerIn","Sachsen-Anhalt","","","",""
"Selten","2015","AkademikerIn","Thueringen","","","",""
"Nie","2015","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Nie","2015","(noch) kein Abschluss","Hamburg","","","",""
"Nie","2015","(noch) kein Abschluss","Niedersachsen","","","",""
"Nie","2015","(noch) kein Abschluss","Bremen","","","",""
"Nie","2015","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Nie","2015","(noch) kein Abschluss","Hessen","","","",""
"Nie","2015","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Nie","2015","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Nie","2015","(noch) kein Abschluss","Bayern","","","",""
"Nie","2015","(noch) kein Abschluss","Saarland","","","",""
"Nie","2015","(noch) kein Abschluss","Berlin","","","",""
"Nie","2015","(noch) kein Abschluss","Brandenburg","","","",""
"Nie","2015","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Nie","2015","(noch) kein Abschluss","Sachsen","","","",""
"Nie","2015","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Nie","2015","(noch) kein Abschluss","Thueringen","","","",""
"Nie","2015","Hauptschule","Schleswig-Holstein","","","",""
"Nie","2015","Hauptschule","Hamburg","","","",""
"Nie","2015","Hauptschule","Niedersachsen","","","",""
"Nie","2015","Hauptschule","Bremen","","","",""
"Nie","2015","Hauptschule","Nordrhein-Westfalen","","","",""
"Nie","2015","Hauptschule","Hessen","","","",""
"Nie","2015","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Nie","2015","Hauptschule","Baden-Wuerttemberg","","","",""
"Nie","2015","Hauptschule","Bayern","","","",""
"Nie","2015","Hauptschule","Saarland","","","",""
"Nie","2015","Hauptschule","Berlin","","","",""
"Nie","2015","Hauptschule","Brandenburg","","","",""
"Nie","2015","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Nie","2015","Hauptschule","Sachsen","","","",""
"Nie","2015","Hauptschule","Sachsen-Anhalt","","","",""
"Nie","2015","Hauptschule","Thueringen","","","",""
"Nie","2015","Realschule","Schleswig-Holstein","","","",""
"Nie","2015","Realschule","Hamburg","","","",""
"Nie","2015","Realschule","Niedersachsen","","","",""
"Nie","2015","Realschule","Bremen","","","",""
"Nie","2015","Realschule","Nordrhein-Westfalen","","","",""
"Nie","2015","Realschule","Hessen","","","",""
"Nie","2015","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Nie","2015","Realschule","Baden-Wuerttemberg","","","",""
"Nie","2015","Realschule","Bayern","","","",""
"Nie","2015","Realschule","Saarland","","","",""
"Nie","2015","Realschule","Berlin","","","",""
"Nie","2015","Realschule","Brandenburg","","","",""
"Nie","2015","Realschule","Mecklenburg-Vorpommern","","","",""
"Nie","2015","Realschule","Sachsen","","","",""
"Nie","2015","Realschule","Sachsen-Anhalt","","","",""
"Nie","2015","Realschule","Thueringen","","","",""
"Nie","2015","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Nie","2015","(Fach-)Abitur","Hamburg","","","",""
"Nie","2015","(Fach-)Abitur","Niedersachsen","","","",""
"Nie","2015","(Fach-)Abitur","Bremen","","","",""
"Nie","2015","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Nie","2015","(Fach-)Abitur","Hessen","","","",""
"Nie","2015","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Nie","2015","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Nie","2015","(Fach-)Abitur","Bayern","","","",""
"Nie","2015","(Fach-)Abitur","Saarland","","","",""
"Nie","2015","(Fach-)Abitur","Berlin","","","",""
"Nie","2015","(Fach-)Abitur","Brandenburg","","","",""
"Nie","2015","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Nie","2015","(Fach-)Abitur","Sachsen","","","",""
"Nie","2015","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Nie","2015","(Fach-)Abitur","Thueringen","","","",""
"Nie","2015","AkademikerIn","Schleswig-Holstein","","","",""
"Nie","2015","AkademikerIn","Hamburg","","","",""
