"pld0043","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2012","Hauptschule","maennlich","","","",""
"Sehr oft","2012","Hauptschule","weiblich","","","",""
"Sehr oft","2012","Realschule","maennlich","","","",""
"Sehr oft","2012","Realschule","weiblich","","","",""
"Sehr oft","2012","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2012","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2012","AkademikerIn","maennlich","","","",""
"Sehr oft","2012","AkademikerIn","weiblich","","","",""
"Oft","2012","(noch) kein Abschluss","maennlich","","","",""
"Oft","2012","(noch) kein Abschluss","weiblich","","","",""
"Oft","2012","Hauptschule","maennlich","","","",""
"Oft","2012","Hauptschule","weiblich","","","",""
"Oft","2012","Realschule","maennlich","","","",""
"Oft","2012","Realschule","weiblich","","","",""
"Oft","2012","(Fach-)Abitur","maennlich","","","",""
"Oft","2012","(Fach-)Abitur","weiblich","","","",""
"Oft","2012","AkademikerIn","maennlich","","","",""
"Oft","2012","AkademikerIn","weiblich","","","",""
"Manchmal","2012","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2012","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2012","Hauptschule","maennlich","","","",""
"Manchmal","2012","Hauptschule","weiblich","","","",""
"Manchmal","2012","Realschule","maennlich","","","",""
"Manchmal","2012","Realschule","weiblich","","","",""
"Manchmal","2012","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2012","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2012","AkademikerIn","maennlich","","","",""
"Manchmal","2012","AkademikerIn","weiblich","","","",""
"Selten","2012","(noch) kein Abschluss","maennlich","","","",""
"Selten","2012","(noch) kein Abschluss","weiblich","","","",""
"Selten","2012","Hauptschule","maennlich","","","",""
"Selten","2012","Hauptschule","weiblich","","","",""
"Selten","2012","Realschule","maennlich","","","",""
"Selten","2012","Realschule","weiblich","","","",""
"Selten","2012","(Fach-)Abitur","maennlich","","","",""
"Selten","2012","(Fach-)Abitur","weiblich","","","",""
"Selten","2012","AkademikerIn","maennlich","","","",""
"Selten","2012","AkademikerIn","weiblich","","","",""
"Nie","2012","(noch) kein Abschluss","maennlich","","","",""
"Nie","2012","(noch) kein Abschluss","weiblich","","","",""
"Nie","2012","Hauptschule","maennlich","","","",""
"Nie","2012","Hauptschule","weiblich","","","",""
"Nie","2012","Realschule","maennlich","","","",""
"Nie","2012","Realschule","weiblich","","","",""
"Nie","2012","(Fach-)Abitur","maennlich","","","",""
"Nie","2012","(Fach-)Abitur","weiblich","","","",""
"Nie","2012","AkademikerIn","maennlich","","","",""
"Nie","2012","AkademikerIn","weiblich","","","",""
"Sehr oft","2013","(noch) kein Abschluss","maennlich","18","","",""
"Sehr oft","2013","(noch) kein Abschluss","weiblich","21","","",""
"Sehr oft","2013","Hauptschule","maennlich","83","0.0195821866255199","0.0151157666717265","0.0240486065793134"
"Sehr oft","2013","Hauptschule","weiblich","73","0.019383080539798","0.0151074009561618","0.0236587601234342"
"Sehr oft","2013","Realschule","maennlich","57","0.0171544832804185","0.0123389534873218","0.0219700130735153"
"Sehr oft","2013","Realschule","weiblich","104","","",""
"Sehr oft","2013","(Fach-)Abitur","maennlich","43","0.0364632027042517","0.026336181840209","0.0465902235682944"
"Sehr oft","2013","(Fach-)Abitur","weiblich","66","0.0249292295349017","0.0179932497223499","0.0318652093474536"
"Sehr oft","2013","AkademikerIn","maennlich","56","0.0192983511018983","0.0143473722399183","0.0242493299638783"
"Sehr oft","2013","AkademikerIn","weiblich","131","","",""
"Oft","2013","(noch) kein Abschluss","maennlich","85","0.154368528063113","0.117800427080332","0.190936629045895"
"Oft","2013","(noch) kein Abschluss","weiblich","100","","",""
"Oft","2013","Hauptschule","maennlich","443","0.113497288499928","0.103272457396011","0.123722119603845"
"Oft","2013","Hauptschule","weiblich","417","0.0926885430338874","0.0836949074557117","0.101682178612063"
"Oft","2013","Realschule","maennlich","382","0.128121750091407","0.115726594683871","0.140516905498943"
"Oft","2013","Realschule","weiblich","687","0.134038755265386","0.123962913318479","0.144114597212293"
"Oft","2013","(Fach-)Abitur","maennlich","229","","",""
"Oft","2013","(Fach-)Abitur","weiblich","407","0.219001924485965","0.20060334595645","0.23740050301548"
"Oft","2013","AkademikerIn","maennlich","463","0.168389550254443","0.154922265124446","0.181856835384439"
"Oft","2013","AkademikerIn","weiblich","664","0.223385913779985","0.208094199148652","0.238677628411319"
"Manchmal","2013","(noch) kein Abschluss","maennlich","122","","",""
"Manchmal","2013","(noch) kein Abschluss","weiblich","130","","",""
"Manchmal","2013","Hauptschule","maennlich","1034","","",""
"Manchmal","2013","Hauptschule","weiblich","1065","","",""
"Manchmal","2013","Realschule","maennlich","976","0.361038372295333","0.343225797813634","0.378850946777031"
"Manchmal","2013","Realschule","weiblich","1604","","",""
"Manchmal","2013","(Fach-)Abitur","maennlich","516","0.386766827818683","0.360454602748267","0.4130790528891"
"Manchmal","2013","(Fach-)Abitur","weiblich","768","0.398465469488991","0.376685315265836","0.420245623712147"
"Manchmal","2013","AkademikerIn","maennlich","1175","","",""
"Manchmal","2013","AkademikerIn","weiblich","1148","","",""
"Selten","2013","(noch) kein Abschluss","maennlich","90","0.253952888297552","0.209898197025812","0.298007579569291"
"Selten","2013","(noch) kein Abschluss","weiblich","100","","",""
"Selten","2013","Hauptschule","maennlich","1255","","",""
"Selten","2013","Hauptschule","weiblich","1323","","",""
"Selten","2013","Realschule","maennlich","984","0.354551013586278","0.336809815278813","0.372292211893743"
"Selten","2013","Realschule","weiblich","1433","","",""
"Selten","2013","(Fach-)Abitur","maennlich","413","0.296182154028767","0.271514393295129","0.320849914762404"
"Selten","2013","(Fach-)Abitur","weiblich","550","0.269244945984917","0.249511859599086","0.288978032370747"
"Selten","2013","AkademikerIn","maennlich","1004","","",""
"Selten","2013","AkademikerIn","weiblich","731","0.278695028568971","0.262234274188871","0.29515578294907"
"Nie","2013","(noch) kein Abschluss","maennlich","60","0.165307520099854","0.127711487896946","0.202903552302762"
"Nie","2013","(noch) kein Abschluss","weiblich","78","0.226422980898278","0.186819671696824","0.266026290099732"
"Nie","2013","Hauptschule","maennlich","882","0.252070403239752","0.238074057774145","0.266066748705359"
"Nie","2013","Hauptschule","weiblich","1116","","",""
"Nie","2013","Realschule","maennlich","394","0.139134380746564","0.126299331638435","0.151969429854692"
"Nie","2013","Realschule","weiblich","564","0.144353530048477","0.133959647352667","0.154747412744286"
"Nie","2013","(Fach-)Abitur","maennlich","115","","",""
"Nie","2013","(Fach-)Abitur","weiblich","150","","",""
"Nie","2013","AkademikerIn","maennlich","268","","",""
"Nie","2013","AkademikerIn","weiblich","176","","",""
"Sehr oft","2014","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2014","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2014","Hauptschule","maennlich","","","",""
"Sehr oft","2014","Hauptschule","weiblich","","","",""
"Sehr oft","2014","Realschule","maennlich","","","",""
"Sehr oft","2014","Realschule","weiblich","","","",""
"Sehr oft","2014","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2014","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2014","AkademikerIn","maennlich","","","",""
"Sehr oft","2014","AkademikerIn","weiblich","","","",""
"Oft","2014","(noch) kein Abschluss","maennlich","","","",""
"Oft","2014","(noch) kein Abschluss","weiblich","","","",""
"Oft","2014","Hauptschule","maennlich","","","",""
"Oft","2014","Hauptschule","weiblich","","","",""
"Oft","2014","Realschule","maennlich","","","",""
"Oft","2014","Realschule","weiblich","","","",""
"Oft","2014","(Fach-)Abitur","maennlich","","","",""
"Oft","2014","(Fach-)Abitur","weiblich","","","",""
"Oft","2014","AkademikerIn","maennlich","","","",""
"Oft","2014","AkademikerIn","weiblich","","","",""
"Manchmal","2014","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2014","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2014","Hauptschule","maennlich","","","",""
"Manchmal","2014","Hauptschule","weiblich","","","",""
"Manchmal","2014","Realschule","maennlich","","","",""
"Manchmal","2014","Realschule","weiblich","","","",""
"Manchmal","2014","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2014","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2014","AkademikerIn","maennlich","","","",""
"Manchmal","2014","AkademikerIn","weiblich","","","",""
"Selten","2014","(noch) kein Abschluss","maennlich","","","",""
"Selten","2014","(noch) kein Abschluss","weiblich","","","",""
"Selten","2014","Hauptschule","maennlich","","","",""
"Selten","2014","Hauptschule","weiblich","","","",""
"Selten","2014","Realschule","maennlich","","","",""
"Selten","2014","Realschule","weiblich","","","",""
"Selten","2014","(Fach-)Abitur","maennlich","","","",""
"Selten","2014","(Fach-)Abitur","weiblich","","","",""
"Selten","2014","AkademikerIn","maennlich","","","",""
"Selten","2014","AkademikerIn","weiblich","","","",""
"Nie","2014","(noch) kein Abschluss","maennlich","","","",""
"Nie","2014","(noch) kein Abschluss","weiblich","","","",""
"Nie","2014","Hauptschule","maennlich","","","",""
"Nie","2014","Hauptschule","weiblich","","","",""
"Nie","2014","Realschule","maennlich","","","",""
"Nie","2014","Realschule","weiblich","","","",""
"Nie","2014","(Fach-)Abitur","maennlich","","","",""
"Nie","2014","(Fach-)Abitur","weiblich","","","",""
"Nie","2014","AkademikerIn","maennlich","","","",""
"Nie","2014","AkademikerIn","weiblich","","","",""
"Sehr oft","2015","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2015","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2015","Hauptschule","maennlich","","","",""
"Sehr oft","2015","Hauptschule","weiblich","","","",""
"Sehr oft","2015","Realschule","maennlich","","","",""
"Sehr oft","2015","Realschule","weiblich","","","",""
"Sehr oft","2015","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2015","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2015","AkademikerIn","maennlich","","","",""
"Sehr oft","2015","AkademikerIn","weiblich","","","",""
"Oft","2015","(noch) kein Abschluss","maennlich","","","",""
"Oft","2015","(noch) kein Abschluss","weiblich","","","",""
"Oft","2015","Hauptschule","maennlich","","","",""
"Oft","2015","Hauptschule","weiblich","","","",""
"Oft","2015","Realschule","maennlich","","","",""
"Oft","2015","Realschule","weiblich","","","",""
"Oft","2015","(Fach-)Abitur","maennlich","","","",""
"Oft","2015","(Fach-)Abitur","weiblich","","","",""
"Oft","2015","AkademikerIn","maennlich","","","",""
"Oft","2015","AkademikerIn","weiblich","","","",""
"Manchmal","2015","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2015","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2015","Hauptschule","maennlich","","","",""
"Manchmal","2015","Hauptschule","weiblich","","","",""
"Manchmal","2015","Realschule","maennlich","","","",""
"Manchmal","2015","Realschule","weiblich","","","",""
"Manchmal","2015","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2015","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2015","AkademikerIn","maennlich","","","",""
"Manchmal","2015","AkademikerIn","weiblich","","","",""
"Selten","2015","(noch) kein Abschluss","maennlich","","","",""
"Selten","2015","(noch) kein Abschluss","weiblich","","","",""
"Selten","2015","Hauptschule","maennlich","","","",""
"Selten","2015","Hauptschule","weiblich","","","",""
"Selten","2015","Realschule","maennlich","","","",""
"Selten","2015","Realschule","weiblich","","","",""
"Selten","2015","(Fach-)Abitur","maennlich","","","",""
"Selten","2015","(Fach-)Abitur","weiblich","","","",""
"Selten","2015","AkademikerIn","maennlich","","","",""
"Selten","2015","AkademikerIn","weiblich","","","",""
"Nie","2015","(noch) kein Abschluss","maennlich","","","",""
"Nie","2015","(noch) kein Abschluss","weiblich","","","",""
"Nie","2015","Hauptschule","maennlich","","","",""
"Nie","2015","Hauptschule","weiblich","","","",""
"Nie","2015","Realschule","maennlich","","","",""
"Nie","2015","Realschule","weiblich","","","",""
"Nie","2015","(Fach-)Abitur","maennlich","","","",""
"Nie","2015","(Fach-)Abitur","weiblich","","","",""
"Nie","2015","AkademikerIn","maennlich","","","",""
"Nie","2015","AkademikerIn","weiblich","","","",""
"Sehr oft","2016","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2016","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2016","Hauptschule","maennlich","","","",""
"Sehr oft","2016","Hauptschule","weiblich","","","",""
"Sehr oft","2016","Realschule","maennlich","","","",""
"Sehr oft","2016","Realschule","weiblich","","","",""
"Sehr oft","2016","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2016","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2016","AkademikerIn","maennlich","","","",""
"Sehr oft","2016","AkademikerIn","weiblich","","","",""
"Oft","2016","(noch) kein Abschluss","maennlich","","","",""
"Oft","2016","(noch) kein Abschluss","weiblich","","","",""
"Oft","2016","Hauptschule","maennlich","","","",""
"Oft","2016","Hauptschule","weiblich","","","",""
"Oft","2016","Realschule","maennlich","","","",""
"Oft","2016","Realschule","weiblich","","","",""
"Oft","2016","(Fach-)Abitur","maennlich","","","",""
"Oft","2016","(Fach-)Abitur","weiblich","","","",""
"Oft","2016","AkademikerIn","maennlich","","","",""
"Oft","2016","AkademikerIn","weiblich","","","",""
"Manchmal","2016","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2016","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2016","Hauptschule","maennlich","","","",""
"Manchmal","2016","Hauptschule","weiblich","","","",""
"Manchmal","2016","Realschule","maennlich","","","",""
"Manchmal","2016","Realschule","weiblich","","","",""
"Manchmal","2016","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2016","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2016","AkademikerIn","maennlich","","","",""
"Manchmal","2016","AkademikerIn","weiblich","","","",""
"Selten","2016","(noch) kein Abschluss","maennlich","","","",""
"Selten","2016","(noch) kein Abschluss","weiblich","","","",""
"Selten","2016","Hauptschule","maennlich","","","",""
"Selten","2016","Hauptschule","weiblich","","","",""
"Selten","2016","Realschule","maennlich","","","",""
"Selten","2016","Realschule","weiblich","","","",""
"Selten","2016","(Fach-)Abitur","maennlich","","","",""
"Selten","2016","(Fach-)Abitur","weiblich","","","",""
"Selten","2016","AkademikerIn","maennlich","","","",""
"Selten","2016","AkademikerIn","weiblich","","","",""
"Nie","2016","(noch) kein Abschluss","maennlich","","","",""
"Nie","2016","(noch) kein Abschluss","weiblich","","","",""
"Nie","2016","Hauptschule","maennlich","","","",""
"Nie","2016","Hauptschule","weiblich","","","",""
"Nie","2016","Realschule","maennlich","","","",""
"Nie","2016","Realschule","weiblich","","","",""
"Nie","2016","(Fach-)Abitur","maennlich","","","",""
"Nie","2016","(Fach-)Abitur","weiblich","","","",""
"Nie","2016","AkademikerIn","maennlich","","","",""
"Nie","2016","AkademikerIn","weiblich","","","",""
"Sehr oft","2017","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2017","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2017","Hauptschule","maennlich","","","",""
"Sehr oft","2017","Hauptschule","weiblich","","","",""
"Sehr oft","2017","Realschule","maennlich","","","",""
"Sehr oft","2017","Realschule","weiblich","","","",""
"Sehr oft","2017","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2017","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2017","AkademikerIn","maennlich","","","",""
"Sehr oft","2017","AkademikerIn","weiblich","","","",""
"Oft","2017","(noch) kein Abschluss","maennlich","","","",""
"Oft","2017","(noch) kein Abschluss","weiblich","","","",""
"Oft","2017","Hauptschule","maennlich","","","",""
"Oft","2017","Hauptschule","weiblich","","","",""
"Oft","2017","Realschule","maennlich","","","",""
"Oft","2017","Realschule","weiblich","","","",""
"Oft","2017","(Fach-)Abitur","maennlich","","","",""
"Oft","2017","(Fach-)Abitur","weiblich","","","",""
"Oft","2017","AkademikerIn","maennlich","","","",""
"Oft","2017","AkademikerIn","weiblich","","","",""
"Manchmal","2017","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2017","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2017","Hauptschule","maennlich","","","",""
"Manchmal","2017","Hauptschule","weiblich","","","",""
"Manchmal","2017","Realschule","maennlich","","","",""
"Manchmal","2017","Realschule","weiblich","","","",""
"Manchmal","2017","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2017","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2017","AkademikerIn","maennlich","","","",""
"Manchmal","2017","AkademikerIn","weiblich","","","",""
"Selten","2017","(noch) kein Abschluss","maennlich","","","",""
"Selten","2017","(noch) kein Abschluss","weiblich","","","",""
"Selten","2017","Hauptschule","maennlich","","","",""
"Selten","2017","Hauptschule","weiblich","","","",""
"Selten","2017","Realschule","maennlich","","","",""
"Selten","2017","Realschule","weiblich","","","",""
"Selten","2017","(Fach-)Abitur","maennlich","","","",""
"Selten","2017","(Fach-)Abitur","weiblich","","","",""
"Selten","2017","AkademikerIn","maennlich","","","",""
"Selten","2017","AkademikerIn","weiblich","","","",""
"Nie","2017","(noch) kein Abschluss","maennlich","","","",""
"Nie","2017","(noch) kein Abschluss","weiblich","","","",""
"Nie","2017","Hauptschule","maennlich","","","",""
"Nie","2017","Hauptschule","weiblich","","","",""
"Nie","2017","Realschule","maennlich","","","",""
"Nie","2017","Realschule","weiblich","","","",""
"Nie","2017","(Fach-)Abitur","maennlich","","","",""
"Nie","2017","(Fach-)Abitur","weiblich","","","",""
"Nie","2017","AkademikerIn","maennlich","","","",""
"Nie","2017","AkademikerIn","weiblich","","","",""
"Sehr oft","2018","(noch) kein Abschluss","maennlich","21","","",""
"Sehr oft","2018","(noch) kein Abschluss","weiblich","36","0.0546469437090167","0.0345222163156692","0.0747716711023642"
"Sehr oft","2018","Hauptschule","maennlich","107","","",""
"Sehr oft","2018","Hauptschule","weiblich","99","0.0309847180930581","0.0251646425653403","0.0368047936207759"
"Sehr oft","2018","Realschule","maennlich","67","0.0282533287973449","0.0219789161586754","0.0345277414360144"
"Sehr oft","2018","Realschule","weiblich","127","","",""
"Sehr oft","2018","(Fach-)Abitur","maennlich","90","0.0546857504343621","0.0438808411616714","0.0654906597070528"
"Sehr oft","2018","(Fach-)Abitur","weiblich","111","","",""
"Sehr oft","2018","AkademikerIn","maennlich","99","0.0284866576302543","0.0226808535103936","0.0342924617501151"
"Sehr oft","2018","AkademikerIn","weiblich","176","","",""
"Oft","2018","(noch) kein Abschluss","maennlich","79","0.192622580430138","0.154072351428052","0.231172809432224"
"Oft","2018","(noch) kein Abschluss","weiblich","94","0.158997668649106","0.126620115194503","0.19137522210371"
"Oft","2018","Hauptschule","maennlich","438","0.126189826428606","0.114968587302269","0.137411065554942"
"Oft","2018","Hauptschule","weiblich","365","0.106111251883901","0.0957666927313163","0.116455811036486"
"Oft","2018","Realschule","maennlich","382","0.147738402768432","0.134301632445124","0.16117517309174"
"Oft","2018","Realschule","weiblich","687","0.164950020581122","0.153403796986541","0.176496244175704"
"Oft","2018","(Fach-)Abitur","maennlich","307","0.19189260687396","0.173178909777347","0.210606303970573"
"Oft","2018","(Fach-)Abitur","weiblich","478","0.226022565725717","0.208992154931547","0.243052976519887"
"Oft","2018","AkademikerIn","maennlich","520","0.167914977703682","0.154869925634203","0.180960029773161"
"Oft","2018","AkademikerIn","weiblich","766","0.265487297950505","0.250172821157061","0.280801774743948"
"Manchmal","2018","(noch) kein Abschluss","maennlich","130","","",""
"Manchmal","2018","(noch) kein Abschluss","weiblich","140","","",""
"Manchmal","2018","Hauptschule","maennlich","1007","","",""
"Manchmal","2018","Hauptschule","weiblich","966","0.266601314388012","0.25174911606915","0.281453512706873"
"Manchmal","2018","Realschule","maennlich","945","0.356225726532274","0.338091827914452","0.374359625150096"
"Manchmal","2018","Realschule","weiblich","1450","","",""
"Manchmal","2018","(Fach-)Abitur","maennlich","628","0.384449318893542","0.361331471622457","0.407567166164627"
"Manchmal","2018","(Fach-)Abitur","weiblich","874","0.351779963351898","0.332336131830058","0.371223794873738"
"Manchmal","2018","AkademikerIn","maennlich","1247","","",""
"Manchmal","2018","AkademikerIn","weiblich","1244","","",""
"Selten","2018","(noch) kein Abschluss","maennlich","97","0.238521925654504","0.196861095525644","0.280182755783363"
"Selten","2018","(noch) kein Abschluss","weiblich","106","","",""
"Selten","2018","Hauptschule","maennlich","1058","","",""
"Selten","2018","Hauptschule","weiblich","1042","","",""
"Selten","2018","Realschule","maennlich","918","0.337461844366328","0.319556630229879","0.355367058502777"
"Selten","2018","Realschule","weiblich","1204","","",""
"Selten","2018","(Fach-)Abitur","maennlich","494","0.272961721945905","0.251791498242321","0.294131945649489"
"Selten","2018","(Fach-)Abitur","weiblich","585","0.265971500034891","0.24798034331458","0.283962656755203"
"Selten","2018","AkademikerIn","maennlich","1032","","",""
"Selten","2018","AkademikerIn","weiblich","781","0.241688621734609","0.226841833163261","0.256535410305957"
"Nie","2018","(noch) kein Abschluss","maennlich","75","0.193806213521506","0.155166078429851","0.232446348613161"
"Nie","2018","(noch) kein Abschluss","weiblich","114","","",""
"Nie","2018","Hauptschule","maennlich","754","0.220943304099052","0.206923399707962","0.234963208490143"
"Nie","2018","Hauptschule","weiblich","933","0.282936371104568","0.267807282382272","0.298065459826864"
"Nie","2018","Realschule","maennlich","367","0.130320697535621","0.117572523042218","0.143068872029025"
"Nie","2018","Realschule","weiblich","501","0.142727830400962","0.131845516821386","0.153610143980538"
"Nie","2018","(Fach-)Abitur","maennlich","182","","",""
"Nie","2018","(Fach-)Abitur","weiblich","269","","",""
"Nie","2018","AkademikerIn","maennlich","256","","",""
"Nie","2018","AkademikerIn","weiblich","227","","",""
